Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Cape Town"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"HIV; HIV Infections; HIV-1",TC.17,971,2.33,-1.9,2.01,96.386
"International Relations; Security; Politics",TC.548,11,0.12,287.9,0.47,36.814
"Nursing Homes; Long-Term Care; Caregivers",TC.482,11,0.13,-,1.2,57.095
"Wastes; Solid Wastes; Municipal Solid Waste",TC.703,11,0.13,122.3,1.12,79.719
"Inflammatory Bowel Diseases; Crohn Disease; Ulcerative Colitis",TC.276,11,0.07,-3.5,0.9,85.877
"Pulmonary Hypertension; Pulmonary Artery; Patients",TC.492,11,0.14,492.8,1.47,66.064
"Folic Acid; Homocysteine; Vitamin B 12",TC.378,11,0.13,11.9,1.18,72.825
"Hydrocephalus; Cerebrospinal Fluid; Patients",TC.416,11,0.13,-100.0,0.14,45.515
"Knee; Osteoarthritis; Cartilage",TC.120,11,0.04,65.5,0.66,91.566
"Delirium; Anesthesia; Propofol",TC.190,11,0.07,-41.0,0.13,80.79
"Occupational Therapy; Students; Physical Therapists",TC.902,11,0.24,-,2.41,34.605
"Shoulder; Rotator Cuff; Tendons",TC.241,11,0.06,-,0.81,77.242
"Obesity; Leptin; Adiponectin",TC.257,11,0.06,91.5,2.97,91.633
"Tomography; Electric Impedance Tomography; Electric Impedance Measurement",TC.1055,10,0.2,-,1.34,37.818
"Radiation; Tomography; Medical Imaging",TC.245,10,0.06,-100.0,1.32,79.116
"Telemedicine; Technology; Patients",TC.851,10,0.16,-75.3,1.45,50.535
"Classification (Of Information); Learning Systems; Algorithms",TC.195,10,0.04,-73.5,0.94,88.487
"Ischemic Preconditioning; Reperfusion Injury; Ischemic Postconditioning",TC.662,10,0.23,24.6,5.33,49.598
"Hair; Alopecia; Hair Follicle",TC.824,10,0.19,45.9,0.79,57.162
"Toxicology; Pharmaceutical Preparations; Risk Assessment",TC.970,10,0.26,-100.0,0.72,53.882
"Governance; Government; Public Services",TC.611,10,0.13,196.2,0.63,54.685
"Altitude; Anoxia; Altitude Sickness",TC.1246,10,0.35,-,0.98,25.167
"Fabaceae; Faboideae; Mimosoideae",TC.1462,10,0.71,18.8,4.81,5.422
"Cloud Computing; Clouds; Distributed Computer Systems",TC.70,10,0.02,-79.5,2.41,93.173
"Education; Wages; Inequality",TC.657,10,0.12,-18.8,0.62,59.973
"Archaeology; Maya; Mexico",TC.383,10,0.14,-,2.34,26.64
"Morals; Bioethics; Humans",TC.733,10,0.16,-100.0,0.78,39.157
"New Species; Brazil; Rubiaceae",TC.572,10,0.2,-73.0,2.07,34.806
"Finite Element Method; Galerkin Methods; Errors",TC.154,10,0.05,-,1.29,80.321
"Pregnancy; Depression; Postpartum Depression",TC.1028,10,0.21,322.2,2.01,57.631
"Quantum Chemistry; Density Functional Theory; Molecular Orbitals",TC.145,10,0.06,-,0.36,91.365
"Solitons; Waves; Nonlinear Equations",TC.235,10,0.07,-68.2,0.83,72.49
"Heart Diseases; Patients; Congenital Heart Defects",TC.266,10,0.07,413.2,0.94,64.726
"Imines; Crystal Structure; Metal Complexes",TC.359,10,0.12,-100.0,1.21,70.817
"Antennas; Slot Antennas; Microwave Antennas",TC.55,10,0.02,-23.5,0.97,91.031
"Corals; Coral Reefs; Cnidaria",TC.399,10,0.12,258.7,0.58,80.388
"Breast Feeding; Mothers; Infant",TC.552,10,0.1,-57.8,0.36,64.458
"Rehabilitation; Depression; Patients",TC.601,10,0.15,-53.8,4.62,59.304
"Criminals; Violence; Mental Health",TC.388,10,0.1,198.4,0.72,63.32
"Verification; Model Checking; Semantics",TC.96,10,0.04,-26.9,0.55,70.549
"Biofuels; Biomass; Bioenergy",TC.490,10,0.11,-,1.88,81.459
"Proteins; Molecular Dynamics Simulation; Molecular Dynamics",TC.108,10,0.05,-,1.69,94.846
"Fluidized Beds; Fluidization; Granular Materials",TC.461,9,0.1,-,0.94,71.888
"Biodiesel; Diesel Engines; Engine Cylinders",TC.165,9,0.04,-100.0,0.31,93.909
"Stomach Neoplasms; Esophageal Neoplasms; Gastrectomy",TC.309,9,0.06,77.7,0.86,75.904
"Endocarditis; Aneurysm; Patients",TC.1018,9,0.2,4.4,1.98,24.766
"Arab; Egypt; Morocco",TC.1023,9,0.16,9.2,1.86,18.474
"Genome; Neoplasms; Genes",TC.436,9,0.06,59.8,5.41,94.043
"Radiotherapy; Radiation; Intensity-Modulated Radiotherapy",TC.322,9,0.07,597.4,0.27,71.017
"Delivery Of Health Care; Needlestick Injuries; Infection",TC.906,9,0.2,124.4,1.32,29.384
"Theatre; Fiction; Introduction",TC.547,9,0.09,44.9,0.57,9.906
"Depression; Inflammation; Cytokines",TC.816,9,0.24,-30.2,1.03,57.831
"Oral Health; Periodontitis; Dental Caries",TC.125,9,0.04,40.1,1.04,84.605
"Language; Sign; Hearing",TC.1179,9,0.27,-,1.19,16.801
"DNA Methylation; Epigenomics; Neoplasms",TC.478,9,0.06,-,0.71,91.968
"Research; Science; Periodicals As Topic",TC.932,9,0.13,28.9,7.95,73.427
"Malnutrition; Enteral Nutrition; Patients",TC.313,9,0.08,5.3,0.19,71.285
"Macrophytes; Aquatic Plants; Lakes",TC.1196,9,0.38,-,1.48,21.486
"Indigenous Peoples; Language; American Indians",TC.961,9,0.2,-4.5,0.45,16.399
"Aortic Valve; Mitral Valve; Aortic Valve Stenosis",TC.243,9,0.05,-100.0,1.26,86.814
"Intravenous Immunoglobulins; Common Variable Immunodeficiency; Patients",TC.1070,9,0.23,-,0.44,46.586
"Particulate Matter; Air Pollution; Air Pollutants",TC.431,9,0.07,-25.0,0.9,89.09
"Music; Jazz; Popular Music",TC.873,9,0.15,-26.0,0.38,12.651
"RNA; Ribosomes; Proteins",TC.171,9,0.05,-81.7,0.48,95.315
"Student; Education; Learning",TC.913,9,0.14,-76.0,0.77,37.483
"Proteomics; Mass Spectrometry; Proteins",TC.227,9,0.06,107.9,1.93,92.503
"Rhetoric; Feminist; Feminism",TC.791,9,0.15,465.0,1.05,21.084
"Gipsy; Muslim; Gender",TC.750,9,0.12,-,0.54,29.652
"Rocks; Rock Mechanics; Tunnels",TC.155,9,0.03,-6.6,0.91,77.51
"Hydrogen Sulfide; Cystathionine Gamma-Lyase; Sulfides",TC.1365,9,0.26,-,1.29,62.517
"Cryptography; Authentication; Data Privacy",TC.84,9,0.02,-100.0,0.49,93.24
"Magnetic Resonance Imaging; Image Segmentation; Medical Imaging",TC.507,8,0.07,-,0.44,69.88
"Microsatellite Repeats; Genetic Variation; Loci",TC.716,8,0.16,-100.0,0.46,49.732
"Humor; Conversation Analysis; Politeness",TC.530,8,0.08,-81.2,4.98,47.858
"Brazil; Health; Nursing",TC.390,8,0.07,-,1.98,41.299
"Research; Communication; Dance",TC.764,8,0.1,-13.9,0.94,37.416
"Heme; Cytochrome P-450 Enzyme System; Hemoglobins",TC.691,8,0.22,-55.8,0.51,58.969
"Aneurysm; Intracranial Aneurysm; Subarachnoid Hemorrhage",TC.288,8,0.06,96.1,0.62,63.855
"Genome; Bacterial Typing Techniques; Vitamin K 2",TC.456,8,0.07,-68.7,0.47,80.656
"Fixed Point; Fixed Point Theorem; Metric Space",TC.301,8,0.06,-,0.62,53.614
"Memory; Episodic Memory; Learning",TC.448,8,0.08,-13.5,0.74,73.226
"Autopsy; Cause Of Death; Tomography",TC.1254,8,0.29,125.8,1.2,11.379
"Soil; Pedogenesis; Chemical Weathering",TC.878,8,0.24,-,0.81,39.023
"Escherichia Coli; Bacteria; Quorum Sensing",TC.198,8,0.05,-,1.21,92.838
"Grief; Bereavement; Death",TC.1167,8,0.21,274.5,0.22,32.262
"Mitochondria; Mitochondrial DNA; Mutation",TC.320,8,0.07,-55.1,0.97,88.554
"Complement System Proteins; Mannose-Binding Lectin; Complement Activation",TC.933,8,0.22,10.6,1.67,49.665
"Students; Engineering; Education",TC.306,8,0.07,2.1,0.47,45.315
"Wind Turbines; Wind Power; Asynchronous Generators",TC.423,8,0.04,-53.1,0.82,85.609
"Thyroid Neoplasms; Thyroid Gland; Thyroidectomy",TC.76,8,0.03,-100.0,0.53,89.357
"Mammaplasty; Free Tissue Flaps; Perforator Flap",TC.321,8,0.06,-100.0,0.38,62.651
"Algorithms; Computer Graphics; Surfaces",TC.228,8,0.05,-42.1,0.87,61.178
"Clostridium Difficile; Clostridium Infections; Anthrax",TC.610,8,0.11,223.4,1.1,66.934
"Tea; Polyphenols; Anthocyanins",TC.294,8,0.04,69.9,0.78,94.11
"Melanesia; Anthropology; Australia",TC.645,8,0.13,17.3,0.64,26.439
"Omega-3 Fatty Acids; Docosahexaenoic Acids; Unsaturated Fatty Acids",TC.600,8,0.12,124.8,3.32,74.498
"Polysaccharides; Glycosylation; Galectin 3",TC.462,8,0.09,-,0.57,85.341
"Tailings; Mines; Mining",TC.1082,8,0.2,-,0.53,38.086
"Cells; Neoplasms; Hydrogels",TC.166,8,0.04,31.4,0.5,97.055
"Housing; Neighborhood; Gentrification",TC.281,8,0.05,-60.9,1.46,74.565
"Onychomycosis; Tinea; Arthrodermataceae",TC.908,8,0.22,12.6,3.27,26.104
"Student; Ethics; Integrity",TC.776,8,0.15,-100.0,0.55,38.019
"Chromatin; Histones; Epigenomics",TC.201,8,0.04,-,3.63,96.653
"Isoptera; Termite; Rhinotermitidae",TC.1457,8,0.6,-50.8,2.11,10.509
"Sports; Athletes; Football",TC.567,8,0.08,66.3,0.72,52.945
"Great Britain; Eighteenth Century; Nineteenth Century",TC.480,8,0.1,-46.1,0.8,16.667
"Mental Health; Homeless Persons; Mental Health Services",TC.499,8,0.11,-52.7,0.66,53.28
"Network Protocols; Internet Protocols; Mobile Telecommunication Systems",TC.624,8,0.14,-41.4,1.1,30.991
"Lipases; Biocatalysts; Biocatalysis",TC.323,8,0.08,4.8,0.32,87.082
"Aquaporins; Epithelial Sodium Channels; Taurine",TC.347,8,0.12,217.7,1.22,64.525
"Museums; Art; Culture",TC.759,8,0.1,-48.5,0.26,39.357
"Robots; Robotics; Human Robot Interaction",TC.591,8,0.07,-78.5,1.6,67.001
"Sustainability; Sustainable Development; Students",TC.879,8,0.11,-58.2,5.23,53.213
"Basin; Reservoir; Shale",TC.213,7,0.04,-,1.7,77.577
"Insulin; Insulin-Secreting Cells; Islets Of Langerhans",TC.331,7,0.07,-,0.81,82.062
"Farmers; Smallholder; Farms",TC.621,7,0.11,-,0.47,55.422
"Industry; Web Services; Models",TC.327,7,0.05,44.4,0.71,72.088
"Formicidae; Hymenoptera; Ant",TC.260,7,0.06,-,1.73,82.329
"Breast Neoplasms; Patients; Mammography",TC.89,7,0.03,-,1.28,90.897
"Silicon Solar Cells; Solar Cells; Silicon",TC.97,7,0.03,-29.2,0.4,88.889
"Crabs; Decapoda; Lobsters",TC.328,7,0.12,97.6,1.11,45.582
"Pain; Neuralgia; Chronic Pain",TC.140,7,0.04,-,0.53,90.562
"Fluorescence; Probes; Supramolecular Chemistry",TC.248,7,0.03,-,0.45,97.992
"Thioredoxins; Peroxiredoxins; Oxidation-Reduction",TC.1180,7,0.22,-100.0,0.79,48.795
"Apoptosis; Cells; Neoplasms",TC.421,7,0.07,-100.0,1.73,84.806
"Indonesia; Malaysia; Thailand",TC.676,7,0.1,-,0.97,24.9
"Nephrotic Syndrome; Podocytes; Proteinuria",TC.518,7,0.1,-2.2,0.5,57.564
"Streptomyces; Actinobacteria; Anti-Bacterial Agents",TC.543,7,0.11,-,0.48,76.707
"Economics; Theory; Rousseau",TC.445,7,0.09,-100.0,0.47,19.612
"Palestinians; Israel; Palestine",TC.977,7,0.14,-,0.38,9.237
"Predator Prey Systems; Epidemic Model; Predator-Prey Model",TC.561,7,0.08,-52.9,1.14,61.58
"Arthroplasty; Hip; Knee",TC.123,7,0.03,-,0.17,87.349
"Intelligence; Child; Psychology",TC.760,7,0.14,-100.0,1.02,43.909
"Breast Neoplasms; Tamoxifen; Estrogen Receptors",TC.439,7,0.1,-100.0,0.93,71.553
"Latin America; Bolivia; Ecuador",TC.828,7,0.11,71.4,1.08,32.062
"Family; Woman; Marriage",TC.500,7,0.09,-100.0,0.39,47.992
"Polynomials; Orthogonal Polynomials; Random Matrices",TC.1010,7,0.18,-10.0,0.66,12.718
"Terrorism; Organized Crime; Radicalism",TC.945,7,0.11,-60.7,2.25,37.952
"Hematopoietic Stem Cell Transplantation; Graft Vs Host Disease; Transplants",TC.307,7,0.08,0.4,1.52,69.411
"Constipation; Irritable Bowel Syndrome; Patients",TC.324,7,0.07,-33.8,0.35,73.494
"Fuzzy Systems; Fuzzy Inference; Neural Networks",TC.573,7,0.08,-100.0,1.2,57.898
"Iron; Anemia; Erythropoietin",TC.238,7,0.05,94.4,1.27,83.133
"Drosophila; Drosophila Melanogaster; Genetic Selection",TC.459,7,0.08,-11.5,0.83,81.258
"Malpractice; Physicians; Jurisprudence",TC.1243,7,0.23,-,1.65,10.241
"Systems Engineering; Design; Models",TC.631,7,0.09,-,1.15,46.988
"Nuclear Envelope; Nuclear Pore; Cell Nucleus Active Transport",TC.1370,7,0.24,7.5,0.85,52.209
"Design; Human Computer Interaction; Websites",TC.742,7,0.09,490.1,0.78,54.15
"Pharmaceutical Preparations; Generic Drugs; Commerce",TC.924,7,0.12,4.8,0.27,44.98
"Lectins; Ricin; Immunotoxins",TC.1097,7,0.3,-,0.39,34.471
"Land Use; Models; Rural Areas",TC.558,7,0.08,-100.0,3.51,57.363
"Manifold; Curvature; Metric",TC.158,7,0.03,-58.8,0.43,63.788
"Verbs; Language; Semantics",TC.298,7,0.05,-18.6,1.9,28.179
"Algae; Microalgae; Biodiesel",TC.517,7,0.06,-100.0,1.67,92.637
"Quantitative Structure-Activity Relationship; Drug Discovery; Pharmaceutical Preparations",TC.387,7,0.06,-100.0,0.8,78.313
"Space; International Cooperation; Space Research",TC.1303,7,0.23,-,0.14,5.02
"Allergic Contact Dermatitis; Hypersensitivity; Skin",TC.579,7,0.14,72.2,32.25,44.043
"First World War; Great War; Fascism",TC.715,7,0.1,-,0.58,8.099
"Matrix Metalloproteinases; Matrix Metalloproteinase 9; Metalloproteases",TC.900,7,0.15,-39.5,1.21,53.815
"Pemphigus; Bullous Pemphigoid; Oral Lichen Planus",TC.655,7,0.11,-3.8,0.24,42.035
"Buildings; Design; Urban Planning",TC.857,7,0.09,-100.0,2.14,59.772
"Laboratories; Patients; Medicine",TC.789,7,0.11,-9.1,0.59,49.264
"North American Indians; Residence Characteristics; Health",TC.833,7,0.12,-,0.79,54.953
"Cryptosporidium; Giardia Lamblia; Parasites",TC.612,7,0.14,-100.0,0.56,53.481
"Students; Teaching; Education; Computer Science",TC.559,7,0.07,-19.6,0.32,53.414
"Telomere; Telomerase; G-Quadruplexes",TC.863,7,0.09,1.8,1.31,86.479
"Computational Geometry; Convex Body; Algorithms",TC.901,7,0.14,-,0.44,18.273
"Syndrome; Mutation; Hand",TC.1104,7,0.23,-,0.24,14.592
"Melanoma; Retinoblastoma; Neoplasms",TC.1075,6,0.15,-100.0,1.91,31.593
"Arctic; Seas; Piracy",TC.938,6,0.13,14.0,1.73,22.758
"DNA Repair; DNA Damage; Neoplasms",TC.104,6,0.03,105.7,1.72,93.574
"Araceae; Liliaceae; Iridaceae",TC.1244,6,0.28,-63.5,0.45,15.797
"European Union (EU); Europe; Governance",TC.505,6,0.05,154.3,0.85,46.319
"Physics; Universe; Entropy",TC.948,6,0.19,-,0.44,12.45
"Life Cycle; Sustainable Development; Sustainability",TC.812,6,0.08,-58.0,0.67,84.873
"Cytology; Image Segmentation; Medical Imaging",TC.862,6,0.09,-100.0,2.09,78.046
"Prions; Prion Diseases; Creutzfeldt-Jakob Syndrome",TC.982,6,0.18,-100.0,0.85,46.653
"Agaricales; Polysaccharides; Antioxidants",TC.639,6,0.07,-54.5,2.35,76.171
"Law; Lawyer; Legal Education",TC.1020,6,0.18,38.6,0.35,9.304
"Abdominal Aortic Aneurysm; Aneurysm; Dissection",TC.287,6,0.04,-66.7,0.24,60.843
"Memory; Hippocampus; Learning",TC.412,6,0.07,89.3,1.49,80.12
"Bubble Columns; Mass Transfer; Liquids",TC.805,6,0.13,-5.0,0.38,50.335
"Archives; Library; Collections",TC.1139,6,0.14,-,1.2,16.131
"Garlic; Onions; Allium Cepa",TC.1408,6,0.31,7.7,1.64,26.037
"Vitiligo; Skin; Therapeutics",TC.523,6,0.07,-100.0,1.13,62.115
"Spirituality; Religion; Life",TC.576,6,0.08,-,1.24,44.645
"Artificial Intelligence; Algorithms; Semantics",TC.411,6,0.06,-,1.29,52.878
"Taxes; Tax Evasion; Tax Compliance",TC.920,6,0.12,-100.0,0.3,28.916
"Serotonin; Depression; Serotonin Plasma Membrane Transport Proteins",TC.357,6,0.09,-,1.07,69.545
"Adenoviridae; Neoplasms; Dependovirus",TC.477,6,0.1,-,2.83,67.135
"Non-Small-Cell Lung Carcinoma; Lung Neoplasms; Patients",TC.124,6,0.02,-,0.78,95.582
"Bacillus Thuringiensis; Aphidoidea; Aphids",TC.129,6,0.04,-9.4,0.85,82.396
"Inverse Problems; Boundary Value Problems; Heat Conduction",TC.930,6,0.13,-100.0,0.13,28.246
"Romantic; Wordsworth; Jane Austen",TC.1047,6,0.14,-100.0,0.28,1.071
"Heart; Acoustic Waves; Cardiology",TC.1455,6,0.28,-,0.5,13.521
"Glycosylation; Glycosides; Carbohydrates",TC.678,6,0.19,19.4,0.9,47.256
"Rutaceae; Carbazoles; Alkaloids",TC.1165,6,0.21,-100.0,1.35,37.885
"Location; Algorithms; Optimization",TC.1249,6,0.16,-,0.34,33.869

"© 2019 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
