Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Nairobi"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"HIV; HIV Infections; HIV-1",TC.17,198,0.48,20.5,1.28,96.386
"STAT3 Transcription Factor; Interleukin-6; Neoplasms",TC.831,2,0.04,-100.0,0.2,62.718
"Foreign Bodies; Eating; Child",TC.1202,1,0.03,-,0.88,6.627
"Proteomics; Mass Spectrometry; Proteins",TC.227,1,0.01,-100.0,0.18,92.503
"Fiber Optic Networks; Quality Of Service; Network Architecture",TC.95,1,0.0,-100.0,0.0,87.216
"Genes; Gene Regulatory Networks; Gene Expression",TC.362,1,0.01,-,0.89,90.495
"Microstructure; Steel; Austenite",TC.20,1,0.0,-,0.12,97.323
"Transplants; Tissue Donors; Kidney Transplantation",TC.98,1,0.0,-,0.14,83.333
"Biodiesel; Diesel Engines; Engine Cylinders",TC.165,1,0.0,-,1.61,93.909
"Anticoagulants; Patients; Venous Thromboembolism",TC.26,1,0.0,-100.0,0.0,92.303
"Squamous Cell Carcinoma; Head And Neck Neoplasms; Carcinoma",TC.264,1,0.01,-,18.17,76.841
"Shoots; Explants; Callus",TC.290,1,0.01,-,0.27,49.866
"Offense; Police; Offender",TC.207,1,0.01,-100.0,0.0,75.234
"Prostatic Neoplasms; Prostate; Prostatectomy",TC.141,1,0.0,-,0.37,94.779
"Orthodontics; Malocclusion; Temporomandibular Joint",TC.236,1,0.01,-100.0,0.21,63.989
"Stroke; Gait; Rehabilitation",TC.48,1,0.0,-,2.55,96.787
"Schools; Students; Disability",TC.394,1,0.01,-,0.25,51.272
"Classification (Of Information); Learning Systems; Algorithms",TC.195,1,0.0,-,0.0,88.487
"Glioma; Neoplasms; Glioblastoma",TC.222,1,0.01,-,0.0,86.546
"Taxes; Tax Evasion; Tax Compliance",TC.920,1,0.02,-100.0,0.2,28.916
"Basin; Mountain; Mining",TC.538,1,0.02,-,0.0,29.585
"Galaxies; Stars; Planets",TC.1,1,0.0,-,0.0,99.264
"Epilepsy; Seizures; Electroencephalography",TC.73,1,0.0,-100.0,1.27,90.763
"Araneae; Spider; Arachnida",TC.685,1,0.02,-,0.0,27.979
"Coleoptera; Beetle; Staphylinidae",TC.351,1,0.02,-100.0,1.3,29.451
"Fishes; Metals; Heavy Metals",TC.317,1,0.01,-,0.19,77.979
"Thyroid Neoplasms; Thyroid Gland; Thyroidectomy",TC.76,1,0.0,-,0.4,89.357
"RNA; Ribosomes; Proteins",TC.171,1,0.01,-,0.0,95.315
"Venoms; Snake Bites; Antivenins",TC.571,1,0.02,-100.0,0.0,56.359
"Pancreatic Neoplasms; Pancreatitis; Patients",TC.51,1,0.0,-,0.95,89.893
"Teachers; Language; Student",TC.265,1,0.01,-,0.0,73.36
"Libraries; Metadata; Ontology",TC.877,1,0.02,-,0.99,24.498
"Crabs; Decapoda; Lobsters",TC.328,1,0.02,-,0.13,45.582
"Reservoirs (Water); Oil Well Flooding; Hydraulic Fracturing",TC.164,1,0.0,-,0.0,84.07
"Database Systems; Ontology; Query Processing",TC.143,1,0.0,-,0.44,86.881
"Health; Socioeconomic Factors; Mortality",TC.537,1,0.01,-,1.87,75.301
"Gasification; Pyrolysis; Coal",TC.87,1,0.0,-100.0,0.07,98.527
"Rheumatoid Arthritis; Psoriasis; Patients",TC.130,1,0.0,-,1.77,91.165
"Atrial Fibrillation; Patients; Catheter Ablation",TC.25,1,0.0,-,0.6,94.913
"Waves; Water Waves; Wave Energy Conversion",TC.284,1,0.01,-100.0,1.23,75.77
"Pain; Neuralgia; Chronic Pain",TC.140,1,0.01,-100.0,0.42,90.562
"Governance; Government; Public Services",TC.611,1,0.01,-100.0,0.0,54.685
"Ankle; Foot; Diabetic Foot",TC.319,1,0.01,-,0.0,66.801
"Orbits; Spacecraft; Satellites",TC.493,1,0.01,-,0.0,54.552
"Blood; Blood Transfusion; Patients",TC.272,1,0.01,-,2.93,74.297
"Visualization; Data Visualization; Flow Visualization",TC.936,1,0.02,-100.0,0.0,50.402
"Fault Detection; Process Monitoring; Principal Component Analysis",TC.899,1,0.02,-100.0,0.83,49.531
"Weeds; Herbicides; Weed Control",TC.533,1,0.02,-,0.16,57.497
"Chromatin; Histones; Epigenomics",TC.201,1,0.01,-,0.0,96.653
"Child; Adolescent; Schools",TC.99,1,0.0,-100.0,0.34,93.307
"Parkinson Disease; Deep Brain Stimulation; Patients",TC.102,1,0.0,-,0.84,95.85
"Stroke; Patients; Cerebral Hemorrhage",TC.138,1,0.0,-,0.0,89.157
"MicroRNAs; Long Untranslated RNA; Neoplasms",TC.219,1,0.0,-,2.29,99.398
"Breast; Fats; Eyelids",TC.511,1,0.01,-,0.0,42.838
"Archives; Library; Collections",TC.1139,1,0.02,-,0.0,16.131
"Alzheimer Disease; Dementia; Amyloid",TC.32,1,0.0,-,0.0,98.795
"Victorian; Fiction; Women",TC.728,1,0.02,-,0.0,4.552
"Melanoma; Skin Neoplasms; Neoplasms",TC.233,1,0.01,-,0.29,80.924
"Apoptosis; Cells; Neoplasms",TC.421,1,0.01,-,0.16,84.806
"Optimization; Algorithms; Evolutionary Algorithms",TC.259,1,0.01,-,0.0,82.195
"Cheeses; Caseins; Milk",TC.178,1,0.01,-,0.59,93.842
"Atomic Force Microscopy; Self Assembled Monolayers; Molecules",TC.345,1,0.01,-100.0,0.0,84.137
"Creativity; Students; Gifted",TC.905,1,0.02,-,0.0,42.102
"Heart Failure; Patients; Brain Natriuretic Peptide",TC.300,1,0.01,-100.0,0.29,84.739
"Sausages; Meat; Pork",TC.349,1,0.01,-,0.0,74.096
"Cholesterol; Lipids; Atherosclerosis",TC.79,1,0.0,-,0.26,94.444
"Microsatellite Repeats; Breeds; Swine",TC.1005,1,0.03,-,2.16,31.258
"Coffee; Caffeine; Energy Drinks",TC.1192,1,0.03,-,0.0,58.635
"Robots; Robotics; Manipulators",TC.101,1,0.0,-,0.16,88.956
"Church; Theology; Vatican II",TC.960,1,0.02,-,0.0,5.154
"Basin; Reservoir; Shale",TC.213,1,0.01,-100.0,0.0,77.577
"Clinical Trials As Topic; Therapeutics; Methods",TC.883,1,0.02,-,0.0,55.89
"Students; Engineering; Education",TC.306,1,0.01,-,0.0,45.315
"Ultrasonics; Elasticity Imaging Techniques; Ultrasonic Imaging",TC.428,1,0.01,-,1.22,75.837
"Fires; Forests; Wildfires",TC.278,1,0.01,-,0.53,77.778
"Rhinitis; Sinusitis; Patients",TC.336,1,0.01,-100.0,0.16,57.028
"Trigeminal Neuralgia; Acoustic Neuroma; Microvascular Decompression Surgery",TC.1118,1,0.03,-,0.0,14.123
"Students; Science; Learning",TC.230,1,0.01,-,11.55,70.75
"Acrylamide; Occupational Exposure; Benzene",TC.512,1,0.02,-,0.0,42.704
"Predator Prey Systems; Epidemic Model; Predator-Prey Model",TC.561,1,0.01,-,1.68,61.58
"Phosphoric Diester Hydrolases; Casein Kinase II; Cyclic AMP-Dependent Protein Kinases",TC.1105,1,0.03,-,0.21,47.39
"Radon; Radioisotopes; Radioactivity",TC.242,1,0.01,-100.0,0.3,72.959
"Testosterone; Face; Behavior",TC.928,1,0.02,-,0.0,59.17
"Streptomyces; Actinobacteria; Anti-Bacterial Agents",TC.543,1,0.02,-100.0,0.0,76.707
"Heavy Metals; Soils; Cadmium",TC.214,1,0.01,-,0.0,90.161
"Biosensors; Electrodes; Voltammetry",TC.128,1,0.0,-,0.49,98.996
"Folic Acid; Homocysteine; Vitamin B 12",TC.378,1,0.01,-100.0,0.64,72.825
"Economics; Theory; Rousseau",TC.445,1,0.01,-100.0,0.0,19.612
"Cinema; African; Race",TC.442,1,0.01,-,0.0,19.076
"Hemorrhoids; Pilonidal Sinus; Hemorrhoidectomy",TC.1481,1,0.07,-,0.0,2.477
"Chromatography; Liquid Chromatography; Column Chromatography",TC.376,1,0.01,-,0.0,73.561
"Ubiquitins; Endoplasmic Reticulum Stress; Proteasome Endopeptidase Complex",TC.687,1,0.01,-,0.92,83.869
"Fermentation; Antioxidant Activity; Powders",TC.884,1,0.02,-100.0,1.66,39.96
"Concretes; Compressive Strength; Cements",TC.68,1,0.0,-,0.0,97.122
"European Union (EU); Europe; Governance",TC.505,1,0.01,-100.0,0.0,46.319
"Japan; Japanese; Korea",TC.949,1,0.02,-,7.65,6.024
"Intelligence; Child; Psychology",TC.760,1,0.02,-,1.24,43.909
"Vitamin D; Vitamin D Deficiency; Parathyroid Hormone",TC.187,1,0.01,-100.0,0.0,89.625
"Students; Learning; Teaching; Course",TC.684,1,0.02,-,1.15,36.881
"Bone And Bones; Osteoporosis; Bone Density",TC.45,1,0.0,-,0.19,92.972
"Student; Ethics; Integrity",TC.776,1,0.02,-,0.52,38.019
"Electrocardiography; Heart; Monitoring",TC.792,1,0.01,-,0.0,61.78
"Clustering Algorithms; Data Mining; Cluster Analysis",TC.740,1,0.01,-,0.0,50.669
"Psychoanalysis; Psychotherapy; Patients",TC.289,1,0.01,-,0.72,25.77
"Housing; Neighborhood; Gentrification",TC.281,1,0.01,-,2.02,74.565
"Aortic Valve; Mitral Valve; Aortic Valve Stenosis",TC.243,1,0.01,-,0.13,86.814
"Rabbits; Erinaceidae; Chinchillas",TC.1368,1,0.07,-100.0,0.24,5.556
"Syndrome; Intellectual Disability; Genes",TC.441,1,0.01,-,0.0,55.823
"Electromagnetic Fields; Cellular Phone; Electromagnetic Radiation",TC.640,1,0.02,-,0.3,50.134
"Piles; Soils; Geotechnical Engineering",TC.64,1,0.0,-,0.0,87.684
"Literacy; Teacher; Student",TC.450,1,0.01,-,0.0,46.185
"Drying; Moisture Determination; Thermal Processing (Foods)",TC.405,1,0.01,-,0.59,79.853
"Catalysis; Synthesis (Chemical); Catalysts",TC.4,1,0.0,-100.0,0.63,99.799
"Wines; Vitis; Grapes",TC.544,1,0.01,-,0.0,79.987
"Rutaceae; Carbazoles; Alkaloids",TC.1165,1,0.04,-100.0,0.0,37.885
"Russia; Russian; Ukraine",TC.549,1,0.01,-,0.44,41.901
"Access Control; Public Policy; Models",TC.918,1,0.02,-,0.3,34.203
"Learning; Geriatrics; Students",TC.923,1,0.02,-,3.98,33.4
"Radiation; Tomography; Medical Imaging",TC.245,1,0.01,-,0.0,79.116
"Archaeology; Maya; Mexico",TC.383,1,0.01,-,0.0,26.64
"Artificial Respiration; Adult Respiratory Distress Syndrome; Noninvasive Ventilation",TC.382,1,0.01,-,0.0,71.218
"Fiction; Postcolonial; Introduction",TC.867,1,0.02,-,0.0,5.622
"Constipation; Irritable Bowel Syndrome; Patients",TC.324,1,0.01,-,0.75,73.494
"Hemiptera; Heteroptera; Cicadellidae",TC.1030,1,0.04,-100.0,0.16,8.3
"Nuclear Envelope; Nuclear Pore; Cell Nucleus Active Transport",TC.1370,1,0.03,-,8.02,52.209
"Lipoma; Neoplasms; Lipomatosis",TC.1480,1,0.07,-,0.0,0.335
"Rehabilitation; Depression; Patients",TC.601,1,0.01,-100.0,7.82,59.304
"Great Britain; Eighteenth Century; Nineteenth Century",TC.480,1,0.01,-,1.4,16.667
"Retroelements; Genome; DNA Transposable Elements",TC.1138,1,0.03,-,2.87,45.984
"Aquifers; Groundwater Resources; Groundwater Flow",TC.282,1,0.01,-,0.0,80.187
"Whales; Dolphins; Seals",TC.516,1,0.01,-,0.0,85.274
"Drosophila; Drosophila Melanogaster; Genetic Selection",TC.459,1,0.01,-,0.0,81.258
"Vitiligo; Skin; Therapeutics",TC.523,1,0.01,-,0.43,62.115
"Synthetic Aperture Radar; Radar; Radar Imaging",TC.204,1,0.0,-100.0,1.23,81.794
"Measurements; Machine Tools; Errors",TC.686,1,0.01,-,0.0,35.475
"Rivers; Fish; Streams",TC.149,1,0.01,-,0.0,82.53
"Xanthones; Garcinia; Mangifera",TC.1391,1,0.03,-,2.61,43.24
"Necrotizing Fasciitis; Abscess; Infection",TC.1231,1,0.03,-,0.38,6.693
"France; Education; Work",TC.504,1,0.01,-100.0,0.0,27.778
"Ligands; Ruthenium; Catalysts",TC.75,1,0.01,-100.0,0.53,97.791
"Heart Neoplasms; Myxoma; Echocardiography",TC.1175,1,0.03,-,0.78,8.233
"Quantum Optics; Quantum Computers; Quantum Theory",TC.57,1,0.0,-,0.0,96.185
"Spine; Patients; Low Back Pain",TC.23,1,0.0,-,0.0,93.039
"Leprosy; Mycobacterium Leprae; Lepromatous Leprosy",TC.1242,1,0.04,-,0.0,10.71
"Terahertz Waves; Terahertz Spectroscopy; Millimeter Waves",TC.701,1,0.01,-100.0,1.23,54.083
"Sickle Cell Anemia; Beta-Thalassemia; Hemoglobins",TC.562,1,0.01,-100.0,0.81,59.839
"Art; Aesthetics; Kierkegaard",TC.695,1,0.01,-100.0,0.0,24.23
"Stevens-Johnson Syndrome; Toxic Epidermal Necrolysis; Pharmaceutical Preparations",TC.897,1,0.02,-,0.39,36.747
"Nitric Oxide; Arginine; Nitric Oxide Synthase Type III",TC.449,1,0.02,-,0.27,70.013
"Wounds And Injuries; Firearms; Gunshot Wounds",TC.1168,1,0.03,-,0.24,16.466
"Celiac Disease; Glutens; Gluten-Free Diet",TC.919,1,0.02,-,3.63,64.592
"Omega-3 Fatty Acids; Docosahexaenoic Acids; Unsaturated Fatty Acids",TC.600,1,0.01,-,0.48,74.498
"Memory; Episodic Memory; Learning",TC.448,1,0.01,-,1.86,73.226
"Brucellosis; Brucella; Brucella Abortus",TC.1377,1,0.04,-,0.8,21.151
"Mammaplasty; Free Tissue Flaps; Perforator Flap",TC.321,1,0.01,-,0.25,62.651
"History; Spain; Business History",TC.705,1,0.02,-,0.0,24.297
"Beers; Humulus; Hops",TC.1445,1,0.06,-,2.36,28.782
"Attention Deficit Disorder With Hyperactivity; Child; Methylphenidate",TC.721,1,0.01,-,0.3,67.805
"Human T-Lymphotropic Virus 1; Adult T-Cell Leukemia-Lymphoma; Deltaretrovirus",TC.1340,1,0.07,-,0.14,13.655
"Advanced Glycosylation End Products; HMGB1 Protein; Pyruvaldehyde",TC.736,1,0.01,-,0.93,71.084
"Verbs; Language; Semantics",TC.298,1,0.01,-,0.0,28.179
"Burns; Wounds And Injuries; Cicatrix",TC.545,1,0.01,-100.0,0.61,48.327
"Migration; Migrant; Immigrant",TC.419,1,0.01,-100.0,0.16,59.572
"G-Protein-Coupled Receptors; Arrestins; Ligands",TC.615,1,0.02,-,2.17,72.423
"Students; Russian; Education",TC.1114,1,0.01,-,1.67,68.474
"Microtubules; Cilia; Phosphotransferases",TC.393,1,0.01,-,1.66,85.074
"Volcanoes; Volcanic Eruption; Volcanology",TC.465,1,0.02,-,8.78,70.415
"Jesus; Text; Christian",TC.420,1,0.01,-,0.0,3.012
"Lakes; Gold; Ore Deposits",TC.1083,1,0.04,-,0.17,15.73
"Biofuels; Biomass; Bioenergy",TC.490,1,0.01,-,0.0,81.459
"Pheochromocytoma; Paraganglioma; Hydrocortisone",TC.286,1,0.01,-,0.32,69.344
"Merkel Cell Carcinoma; Polyomavirus; BK Virus",TC.1206,1,0.03,-,0.5,32.865
"Thomas Aquinas; God; Aristotle",TC.1262,1,0.04,-,0.76,0.469
"Bone And Bones; Bone Morphogenetic Protein 2; Heterotopic Ossification",TC.837,1,0.02,-100.0,0.0,53.079
"Egyptians; Egypt; Museums",TC.1228,1,0.05,-,0.81,1.807
"Wind Turbines; Wind Power; Asynchronous Generators",TC.423,1,0.01,-,2.57,85.609
"Kant; Theory; Epistemic",TC.152,1,0.0,-100.0,0.0,50.87
"Morals; Research; Behavior",TC.267,1,0.01,-,7.21,88.019
"Irish; Ireland; Great Britain",TC.1013,1,0.02,-,1.11,9.103
"Polycystic Ovary Syndrome; Women; Oocytes",TC.253,1,0.01,-100.0,0.53,77.711
"Theatre; Fiction; Introduction",TC.547,1,0.01,-,0.47,9.906
"Wastes; Solid Wastes; Municipal Solid Waste",TC.703,1,0.01,-100.0,0.0,79.719
"Editorial; Periodicals As Topic; Publications",TC.1122,1,0.01,-,8.36,26.707
"Macrophytes; Aquatic Plants; Lakes",TC.1196,1,0.04,-,0.68,21.486
"Student; College; Education",TC.708,1,0.01,-,0.0,39.692
"Psychology; Well-Being; Happiness",TC.713,1,0.01,-,0.99,65.663
"Pesticides; Organophosphates; Insecticides",TC.649,1,0.02,-,0.46,48.059
"Taste; Odors; Smell",TC.594,1,0.02,-,0.15,64.123
"Carbon Capture; Shale; Storage (Materials)",TC.635,1,0.01,-,0.0,80.254
"Laboratories; Patients; Medicine",TC.789,1,0.02,-100.0,1.29,49.264
"Radio Frequency Identification (RFID); Technology; Internet",TC.872,1,0.01,-,0.0,62.316
"Buildings; Design; Urban Planning",TC.857,1,0.01,-100.0,0.0,59.772
"Fungi; Endophytes; Aspergillus",TC.799,1,0.02,-,0.0,63.454
"Amines; Carbon Dioxide; Flue Gases",TC.950,1,0.02,-100.0,0.42,63.521
"Hypospadias; Urethra; Urethral Stricture",TC.1106,1,0.03,-,0.0,10.643

"© 2019 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
