Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Sydney"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Galaxies; Stars; Planets",TC.1,1015,1.58,0.9,2.13,99.264
"Poverty; Inequality; Development",TC.1107,44,0.89,-67.5,0.75,31.66
"Rivers; Fish; Streams",TC.149,43,0.29,215.3,1.49,82.53
"Pituitary Neoplasms; Growth Hormone; Acromegaly",TC.217,43,0.4,5.5,2.01,68.942
"Airports; Air Transportation; Aircraft",TC.763,43,0.59,12.2,1.73,48.594
"Polycystic Ovary Syndrome; Women; Oocytes",TC.253,43,0.34,-10.3,2.76,77.711
"Spirituality; Religion; Life",TC.576,43,0.55,67.2,1.87,44.645
"Manganese Oxide; Manganites; Perovskite",TC.526,43,0.5,-5.5,0.55,73.963
"Control; Controllers; Linear Matrix Inequalities",TC.9,43,0.08,876.3,1.38,96.921
"Hematopoietic Stem Cell Transplantation; Graft Vs Host Disease; Transplants",TC.307,43,0.47,14.7,0.83,69.411
"Research; Science; Periodicals As Topic",TC.932,43,0.6,-19.4,4.01,73.427
"International Relations; Security; Politics",TC.548,43,0.46,-3.0,2.53,36.814
"Membranes; Desalination; Ultrafiltration",TC.223,42,0.21,-23.1,1.25,97.925
"Forests; Landscapes; Plants",TC.151,42,0.19,48.2,2.48,94.712
"Adaptive Optics; Telescopes; Wavefronts",TC.710,42,0.63,-7.5,2.02,31.794
"Gipsy; Muslim; Gender",TC.750,42,0.56,-41.6,1.63,29.652
"Manifold; Curvature; Metric",TC.158,42,0.21,-67.1,0.73,63.788
"Pharmaceutical Preparations; P-Glycoprotein; Pharmacokinetics",TC.381,42,0.52,-76.1,1.44,75.703
"Pregnancy; Depression; Postpartum Depression",TC.1028,41,0.87,-45.7,1.39,57.631
"Housing; Neighborhood; Gentrification",TC.281,41,0.28,-39.2,1.31,74.565
"Folic Acid; Homocysteine; Vitamin B 12",TC.378,41,0.47,151.7,1.87,72.825
"Museums; Art; Culture",TC.759,41,0.52,-48.5,1.43,39.357
"Magnetic Resonance Imaging; Image Segmentation; Medical Imaging",TC.507,41,0.37,0.3,1.47,69.88
"Rehabilitation; Depression; Patients",TC.601,41,0.6,100.2,1.85,59.304
"Data Storage Equipment; Program Processors; Applications",TC.92,40,0.14,4.9,1.3,81.928
"Psychotherapy; Counseling; Psychology",TC.311,40,0.42,66.6,0.85,53.949
"Student; Education; Learning",TC.913,40,0.64,-20.1,1.34,37.483
"Constipation; Irritable Bowel Syndrome; Patients",TC.324,40,0.41,9.2,0.99,73.494
"Heart Arrest; Cardiopulmonary Resuscitation; Out-Of-Hospital Cardiac Arrest",TC.496,40,0.4,-54.3,1.32,70.884
"Gasification; Pyrolysis; Coal",TC.87,40,0.13,19.4,2.21,98.527
"Mitochondria; Mitochondrial DNA; Mutation",TC.320,40,0.35,-1.1,1.43,88.554
"Stomach Neoplasms; Esophageal Neoplasms; Gastrectomy",TC.309,39,0.27,-11.1,1.27,75.904
"Fiber Optic Networks; Quality Of Service; Network Architecture",TC.95,39,0.15,54.5,2.05,87.216
"Escherichia Coli; Bacteria; Quorum Sensing",TC.198,39,0.25,45.9,0.98,92.838
"Malnutrition; Enteral Nutrition; Patients",TC.313,39,0.36,-71.3,2.37,71.285
"Tourism; Tourists; Destination",TC.239,39,0.21,-49.0,1.14,85.743
"Coronary Artery Disease; Patients; Echocardiography",TC.268,39,0.31,145.4,1.15,76.372
"Artificial Respiration; Adult Respiratory Distress Syndrome; Noninvasive Ventilation",TC.382,39,0.39,208.1,1.45,71.218
"Morals; Bioethics; Humans",TC.733,39,0.64,-10.3,1.12,39.157
"Shoulder; Rotator Cuff; Tendons",TC.241,39,0.2,-13.6,1.29,77.242
"Ligands; Ruthenium; Catalysts",TC.75,39,0.23,24.3,0.85,97.791
"China; Chinese; Hong Kong",TC.471,39,0.38,-62.6,1.18,48.862
"Ionic Liquids; Eutectics; Negative Ions",TC.847,39,0.4,29.1,2.38,92.102
"Omega-3 Fatty Acids; Docosahexaenoic Acids; Unsaturated Fatty Acids",TC.600,38,0.55,-25.1,2.11,74.498
"Fluidized Beds; Fluidization; Granular Materials",TC.461,38,0.41,-7.2,0.84,71.888
"Silk; Fibroins; Elastin",TC.1026,38,0.87,-72.1,1.11,66.533
"Autophagy; Sirolimus; Neoplasms",TC.627,38,0.28,2.3,4.07,92.57
"Tribology; Friction; Wear Of Materials",TC.458,38,0.39,-17.1,1.04,65.194
"Echinococcosis; Schistosomiasis; Parasites",TC.109,38,0.23,30.3,1.31,79.92
"RNA; Ribosomes; Proteins",TC.171,38,0.22,-17.5,1.82,95.315
"Foot-And-Mouth Disease Virus; Bovine Viral Diarrhea Viruses; Swine",TC.1217,38,1.14,22.4,1.19,35.408
"Phosphors; Luminescence; Light Emission",TC.91,37,0.13,-68.2,0.92,96.252
"Supply Chains; Supply Chain Management; Industry",TC.146,37,0.15,960.8,4.74,95.382
"Public Health; Residence Characteristics; Evaluation Studies As Topic",TC.745,37,0.57,55.3,1.52,42.905
"Surveys; Data Collection; Interview",TC.1093,36,0.82,-27.4,1.1,33.467
"Cheeses; Caseins; Milk",TC.178,36,0.23,-72.2,0.95,93.842
"Composite Materials; Laminates; Fiber Reinforced Plastics",TC.183,36,0.19,55.5,2.06,86.613
"Solar Energy; Photovoltaic Cells; Solar Radiation",TC.340,36,0.18,15.6,1.44,94.511
"Transforming Growth Factor Beta; Fibrosis; Neoplasms",TC.904,36,0.64,-7.7,0.91,65.395
"Inflammasomes; Inflammation; Toll-Like Receptor 4",TC.551,36,0.34,8.3,2.57,86.948
"Sports; Athletes; Football",TC.567,35,0.35,107.8,1.53,52.945
"Whales; Dolphins; Seals",TC.516,35,0.47,59.9,2.17,85.274
"Planning; Governance; Community",TC.577,35,0.43,43.1,1.62,60.643
"Organic Light Emitting Diodes (OLED); Solar Cells; Conjugated Polymers",TC.61,35,0.08,-16.2,1.14,99.598
"Delirium; Anesthesia; Propofol",TC.190,34,0.22,62.2,1.51,80.79
"India; Indian; Politics",TC.475,34,0.32,-0.9,0.96,34.137
"Visualization; Data Visualization; Flow Visualization",TC.936,34,0.52,40.9,0.81,50.402
"Science; Risks; Nanotechnology",TC.550,34,0.35,14.4,12.84,71.687
"Inflammatory Bowel Diseases; Crohn Disease; Ulcerative Colitis",TC.276,34,0.23,20.7,1.13,85.877
"Japan; Japanese; Korea",TC.949,34,0.67,-49.4,0.88,6.024
"Quantum Chemistry; Density Functional Theory; Molecular Orbitals",TC.145,33,0.2,-78.0,1.53,91.365
"Astrocytes; Glutamic Acid; Brain",TC.986,33,0.81,-30.5,1.71,68.809
"Sows; Swine; Animal Welfare",TC.1043,33,0.87,-3.2,1.03,43.106
"Low-Level Laser Therapy; Lasers; Hyperhidrosis",TC.1108,33,0.87,92.9,1.26,32.329
"Shape Optimization; Structural Optimization; Design",TC.1053,33,0.67,169.1,1.73,48.193
"Nephrotic Syndrome; Podocytes; Proteinuria",TC.518,33,0.46,-38.9,1.53,57.564
"Neurilemmoma; Neurofibromatosis 1; Neoplasms",TC.957,33,0.77,-63.1,1.08,18.876
"Cisplatin; Platinum; Pharmaceutical Preparations",TC.980,33,0.82,-35.3,1.48,61.647
"Kynurenine; Tryptophan; Kynurenic Acid",TC.1454,32,2.38,171.0,2.51,27.577
"Robots; Robotics; Manipulators",TC.101,32,0.1,11.4,2.08,88.956
"Neoplastic Stem Cells; Neoplasms; Breast Neoplasms",TC.860,32,0.37,-51.2,1.77,83.735
"Tibial Fractures; Bone And Bones; Tibia",TC.620,32,0.46,75.1,0.62,36.546
"Theatre; Fiction; Introduction",TC.547,32,0.33,69.0,0.74,9.906
"Genes; Gene Regulatory Networks; Gene Expression",TC.362,32,0.19,0.1,2.13,90.495
"Cytology; Image Segmentation; Medical Imaging",TC.862,32,0.48,73.2,1.58,78.046
"Psychoanalysis; Psychotherapy; Patients",TC.289,32,0.28,-14.9,0.79,25.77
"Retina; Neurons; Retinal Ganglion Cells",TC.856,32,1.33,-57.6,0.9,35.877
"Verbs; Language; Semantics",TC.298,32,0.24,4.6,2.48,28.179
"Research; Communication; Dance",TC.764,32,0.41,-71.3,0.91,37.416
"Island; Polynesia; Bird",TC.1414,31,2.11,-53.8,1.41,7.898
"Circulating Neoplastic Cells; Neoplasms; Breast Neoplasms",TC.1166,31,0.63,-74.7,1.8,73.025
"Insulators; Quantum Dots; Spin",TC.186,31,0.18,-44.6,1.84,93.775
"Fiction; Postcolonial; Introduction",TC.867,31,0.51,-55.0,0.57,5.622
"Renal Cell Carcinoma; Nephrectomy; Neoplasms",TC.341,31,0.26,207.9,1.94,70.147
"Serotonin; Depression; Serotonin Plasma Membrane Transport Proteins",TC.357,31,0.48,-38.6,1.81,69.545
"Aquifers; Groundwater Resources; Groundwater Flow",TC.282,31,0.26,16.1,1.22,80.187
"Design; Product Design; Product Development",TC.263,31,0.21,15.0,2.0,69.478
"Refugee; Migration; Migrant",TC.1156,30,0.59,5.2,1.6,30.79
"Neutrophils; NADPH Oxidase; Reactive Oxygen Species",TC.1038,30,0.71,55.2,1.64,66.265
"Syndrome; Mutation; Hand",TC.1104,30,1.0,5.5,1.26,14.592
"Heavy Metals; Soils; Cadmium",TC.214,30,0.18,-32.5,1.53,90.161
"Child; Malnutrition; Food",TC.934,30,0.57,1131.1,1.01,55.489
"Cleft Palate; Cleft Lip; Craniosynostoses",TC.582,30,0.42,72.0,1.12,39.625
"Testosterone; Face; Behavior",TC.928,30,0.51,6.8,1.12,59.17
"Uric Acid; Gout; Hyperuricemia",TC.1000,30,0.54,32.6,1.59,56.292
"Photosystem II Protein Complex; Photosynthesis; Chlorophyll",TC.329,30,0.34,-61.3,1.39,83.668
"Great Britain; Eighteenth Century; Nineteenth Century",TC.480,30,0.39,115.4,0.55,16.667
"Acoustic Waves; Musical Instruments; Computer Music",TC.664,30,0.35,-55.8,0.54,40.897
"Adolescent; Pediatrics; Schools",TC.1224,30,0.83,-38.6,11.11,39.558
"Prime; Integer; Conjecture",TC.291,30,0.27,33.4,0.57,24.565
"Law; Offense; Neurosciences",TC.786,30,0.51,42.0,0.73,24.163
"Wings; Aircraft; Aerodynamics",TC.714,29,0.36,-43.4,1.47,51.807
"Reynolds Number; Boundary Layers; Large Eddy Simulation",TC.34,29,0.09,129.5,1.27,89.96
"Merkel Cell Carcinoma; Polyomavirus; BK Virus",TC.1206,29,0.99,65.4,1.66,32.865
"Mammaplasty; Free Tissue Flaps; Perforator Flap",TC.321,29,0.23,39.2,1.26,62.651
"Infertility; Twins; Assisted Reproductive Techniques",TC.625,29,0.4,-29.5,1.09,52.142
"Construction; Construction Industry; Project Management",TC.295,29,0.18,-29.1,0.82,85.007
"Polyurethanes; Shape Memory Effect; Epoxy Resins",TC.402,29,0.26,-55.5,1.33,87.885
"Enterovirus; Poliomyelitis; Myocarditis",TC.871,29,0.51,-62.4,1.66,55.957
"Intubation; Airway Management; Intratracheal Intubation",TC.470,29,0.33,175.8,2.19,50.201
"Sustainability; Sustainable Development; Students",TC.879,29,0.42,67.3,0.82,53.213
"Humor; Conversation Analysis; Politeness",TC.530,29,0.29,-24.7,1.99,47.858
"China; Chinese; Qing",TC.677,28,0.38,-15.5,0.54,13.119
"Silicon Solar Cells; Solar Cells; Silicon",TC.97,28,0.14,1.2,1.11,88.889
"Israel; Text; Ancient",TC.338,28,0.4,125.1,1.19,17.001
"Students; Teacher; Learning",TC.337,28,0.21,-77.0,1.32,70.348
"Africa; African; South Africa",TC.483,28,0.31,3.5,1.48,34.337
"Ferroelectricity; Dielectric Properties; Ferroelectric Materials",TC.86,28,0.1,27.2,1.15,96.118
"Zinc; Copper; Hepatolenticular Degeneration",TC.608,28,0.55,64.4,1.01,54.752
"Heart-Assist Devices; Extracorporeal Membrane Oxygenation; Patients",TC.739,28,0.36,1151.2,1.49,66.198
"Judgment; Decision Making; Probability",TC.780,28,0.43,-35.4,1.68,54.886
"Plants; Rhizosphere; Rhizobium",TC.488,28,0.32,-62.2,0.86,83.4
"Methods; Test; Psychometrics",TC.962,28,0.51,-10.4,4.21,39.424
"Abdominal Aortic Aneurysm; Aneurysm; Dissection",TC.287,28,0.21,-16.8,0.73,60.843
"Drosophila; Drosophila Melanogaster; Genetic Selection",TC.459,28,0.33,3.2,2.17,81.258
"Voice; Vocal Cords; Dysphonia",TC.909,28,0.56,-77.6,1.13,40.763
"Victorian; Fiction; Women",TC.728,28,0.42,-57.0,1.47,4.552
"Chiroptera; Bat; Rodents",TC.296,28,0.37,-66.2,1.2,59.036
"Containers; Freight Transportation; Ships",TC.881,27,0.4,18.0,1.64,56.225
"Vitiligo; Skin; Therapeutics",TC.523,27,0.33,100.0,1.47,62.115
"Forest; Deforestation; Conservation",TC.663,27,0.31,160.5,0.85,75.1
"Prenatal Diagnosis; Down Syndrome; First Pregnancy Trimester",TC.911,27,0.58,-22.2,2.06,37.617
"Isoptera; Termite; Rhinotermitidae",TC.1457,27,2.03,97.0,1.78,10.509
"Pharmaceutical Preparations; Generic Drugs; Commerce",TC.924,27,0.46,162.0,0.87,44.98
"Family; Woman; Marriage",TC.500,27,0.34,-32.7,1.04,47.992
"Wounds And Injuries; Pressure Ulcer; Bandages",TC.372,27,0.26,170.9,1.55,66.667
"Peptides; Proteins; Peptidylprolyl Isomerase",TC.722,27,0.58,0.9,1.67,65.127
"Stevens-Johnson Syndrome; Toxic Epidermal Necrolysis; Pharmaceutical Preparations",TC.897,27,0.53,-36.4,0.63,36.747
"Knowledge Management; Industry; Research",TC.325,27,0.23,-71.0,2.1,67.47
"Cadmium; Lead; Chromium",TC.373,27,0.37,-2.0,1.43,68.139
"Mathematics; Students; Teacher",TC.391,27,0.22,-49.7,1.13,65.529
"Microfinance; Farmers; Cooperative",TC.532,26,0.29,-13.6,0.83,57.764
"Music; Jazz; Popular Music",TC.873,26,0.42,245.6,2.18,12.651
"Viruses; Mosaic Viruses; Phytoplasma",TC.293,26,0.26,-84.5,1.47,74.364
"Emigrants And Immigrants; Hispanic Americans; Acculturation",TC.646,26,0.31,312.6,1.06,61.513
"Beckett; Modernism; Poetry",TC.889,26,0.43,-16.9,1.04,3.481
"Catheters; Renal Dialysis; Central Venous Catheters",TC.651,25,0.32,-90.2,1.79,43.307
"Nicotinic Receptors; Nicotine; Cholinergic Agents",TC.840,25,0.68,-100.0,1.06,52.811
"Applications; Models; Ubiquitous Computing",TC.440,25,0.24,580.8,2.35,63.253
"Bankruptcy; Law; Banks",TC.820,25,0.54,25.2,0.61,17.604
"Education; Student; University",TC.666,25,0.35,-6.5,1.34,45.649
"Scanning Tunneling Microscopy; Density Functional Theory; Surfaces",TC.216,25,0.34,-34.5,0.61,73.896
"Syndrome; Intellectual Disability; Genes",TC.441,25,0.32,-76.6,1.36,55.823
"Algorithms; Computer Graphics; Surfaces",TC.228,25,0.16,-50.3,0.85,61.178
"Wind Turbines; Wind Power; Asynchronous Generators",TC.423,25,0.14,743.8,1.11,85.609
"Hydrocephalus; Cerebrospinal Fluid; Patients",TC.416,25,0.29,-22.2,1.03,45.515
"Magnesium Alloys; Alloys; Aluminum Alloys",TC.106,25,0.09,-60.6,1.68,91.834
"Software Engineering; Models; Software Design",TC.49,25,0.07,-67.1,0.74,90.964
"Advanced Glycosylation End Products; HMGB1 Protein; Pyruvaldehyde",TC.736,25,0.37,-23.7,1.71,71.084
"Adenosine; Purinergic P2X7 Receptors; Adenosine Triphosphate",TC.605,25,0.57,39.4,1.68,62.584
"Autonomous Underwater Vehicles; Underwater Acoustics; Remotely Operated Vehicles",TC.1150,25,0.47,-36.5,1.9,37.082
"Psychology; Well-Being; Happiness",TC.713,25,0.3,-15.1,1.32,65.663
"Drops; Hydrophobicity; Contact Angle",TC.374,25,0.16,-38.1,0.9,95.181
"Adenoviridae; Neoplasms; Dependovirus",TC.477,25,0.4,24.2,2.87,67.135
"Neoplasms; Sarcoma; Bone And Bones",TC.193,24,0.15,-34.6,1.6,68.742
"Food; Consumers; Farmers",TC.437,24,0.21,27.6,1.12,73.628
"Electroencephalography; Brain Computer Interface; Electrophysiology",TC.659,24,0.22,-58.8,1.17,76.975
"Delivery Of Health Care; Needlestick Injuries; Infection",TC.906,24,0.54,12.2,0.78,29.384
"Shakespeare; Early Modern; Theatre",TC.755,24,0.45,-73.8,1.0,1.941
"Indigenous Peoples; Language; American Indians",TC.961,24,0.53,-64.2,4.02,16.399
"Germ Cell And Embryonal Neoplasms; Testis; Testicular Neoplasms",TC.707,24,0.5,-25.0,2.62,29.719
"Analgesia; Nerve Block; Bupivacaine",TC.305,24,0.21,-39.2,1.21,64.324
"Heterologous Transplantation; Swine; Transplants",TC.1293,24,1.87,-33.3,0.98,17.938
"Latin America; Bolivia; Ecuador",TC.828,24,0.36,-31.4,1.53,32.062
"First World War; Great War; Fascism",TC.715,24,0.36,163.8,1.22,8.099
"Aerosols; Air Quality; Atmospheric Aerosols",TC.42,24,0.08,-55.1,1.67,97.59
"Fishes; Fish Diseases; Aquaculture",TC.487,24,0.31,198.7,1.33,73.092
"Water; Water Resources; Water Management",TC.527,24,0.23,-81.9,3.3,79.585
"Vascular Stiffness; Pulse Wave Analysis; Blood Pressure",TC.874,24,0.33,579.9,1.04,58.568
"Data Envelopment Analysis; Banks; Efficiency",TC.384,24,0.18,898.0,2.12,79.25
"Multiple Myeloma; Amyloidosis; Patients",TC.415,24,0.24,15.8,1.04,77.108
"Electrospinning; Nanofibers; Spinning (Fibers)",TC.834,24,0.27,-,1.49,85.475
"Industry; Web Services; Models",TC.327,24,0.17,92.5,1.61,72.088
"Peripheral Arterial Disease; Ischemia; Extremities",TC.623,24,0.38,16.8,1.31,43.44
"Patients; Percutaneous Nephrostomy; Kidney Calculi",TC.249,24,0.18,6.0,1.4,61.379
"Discharge; Plasma Applications; Plasma Jets",TC.184,23,0.15,-71.1,2.37,83.534
"Blood Platelets; Thrombocytopenia; Platelet Count",TC.630,23,0.39,739.9,1.3,49.063
"Concretes; Compressive Strength; Cements",TC.68,23,0.06,135.5,1.51,97.122
"Stochastic Differential Equations; Fractional Brownian Motion; Random Walk",TC.467,23,0.27,-35.4,0.55,33.936
"Neisseria Meningitidis; Meningococcal Vaccines; Siderophores",TC.1002,23,0.67,90.1,1.61,44.177
"Art; Aesthetics; Kierkegaard",TC.695,23,0.27,-7.4,0.94,24.23
"Student; Ethics; Integrity",TC.776,23,0.42,652.0,0.91,38.019
"Optimization; Algorithms; Evolutionary Algorithms",TC.259,23,0.12,48.1,0.88,82.195

"© 2019 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
