Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"WUN - Worldwide Universities Network"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Galaxies; Stars; Planets",TC.1,4425,6.87,15.7,2.23,99.264
"Design; Product Design; Product Development",TC.263,445,2.97,-26.7,1.12,69.478
"Emergencies; Patients; Hospitals",TC.675,444,5.32,25.6,1.41,57.965
"Genes; Gene Regulatory Networks; Gene Expression",TC.362,444,2.6,16.7,1.34,90.495
"Women; Erectile Dysfunction; Testosterone",TC.194,442,3.31,28.6,1.96,77.443
"Nuclei; Neutrons; Reaction",TC.83,441,2.75,62.5,0.99,75.167
"Vehicles; Accident Prevention; Highway Accidents",TC.315,440,2.93,2.0,1.0,73.695
"Fault Detection; Process Monitoring; Principal Component Analysis",TC.899,439,7.77,12.2,1.3,49.531
"Data Envelopment Analysis; Banks; Efficiency",TC.384,438,3.22,9.2,1.33,79.25
"Omega-3 Fatty Acids; Docosahexaenoic Acids; Unsaturated Fatty Acids",TC.600,438,6.36,-1.7,1.78,74.498
"Crude Oil; Asphaltenes; Oil Sands",TC.629,437,6.03,5.1,1.27,65.997
"Learning; Students; Education",TC.557,432,4.83,-36.2,1.98,50.937
"Quantum Chemistry; Density Functional Theory; Molecular Orbitals",TC.145,430,2.58,-8.4,1.43,91.365
"Health; Research; Income",TC.1068,428,6.66,32.0,5.4,60.71
"Breast Neoplasms; Early Detection Of Cancer; Women",TC.595,428,4.67,19.5,2.45,75.033
"Escherichia Coli; Bacteria; Quorum Sensing",TC.198,425,2.72,41.3,1.2,92.838
"Systemic Lupus Erythematosus; Systemic Scleroderma; Patients",TC.162,424,2.59,31.4,1.84,84.003
"Industry; Web Services; Models",TC.327,423,2.98,1.9,2.04,72.088
"Squamous Cell Carcinoma; Head And Neck Neoplasms; Carcinoma",TC.264,423,2.94,53.5,1.54,76.841
"Aortic Valve; Mitral Valve; Aortic Valve Stenosis",TC.243,421,2.13,36.4,1.14,86.814
"Cables; Circular Cylinders; Fluid Structure Interaction",TC.466,420,3.74,31.2,1.09,53.681
"Melanesia; Anthropology; Australia",TC.645,420,6.57,28.5,1.08,26.439
"Heart Arrest; Cardiopulmonary Resuscitation; Out-Of-Hospital Cardiac Arrest",TC.496,419,4.19,12.7,2.86,70.884
"Insulin; Insulin-Secreting Cells; Islets Of Langerhans",TC.331,416,4.35,-6.2,1.61,82.062
"Liquid Crystals; Nematic Liquid Crystals; Liquid Crystal Displays",TC.220,415,3.65,28.6,1.31,81.325
"Folic Acid; Homocysteine; Vitamin B 12",TC.378,414,4.77,-14.0,1.42,72.825
"Mathematics; Students; Teacher",TC.391,412,3.33,-16.4,1.19,65.529
"Science; Risks; Nanotechnology",TC.550,410,4.28,21.3,3.0,71.687
"Alcohols; Ethanol; Alcohol Drinking",TC.433,410,5.98,11.0,1.7,67.269
"Wounds And Injuries; Patients; Emergencies",TC.380,406,3.84,26.2,1.16,51.339
"Industry; Information Systems; Research",TC.254,405,2.51,-1.0,1.19,76.238
"Solar Energy; Photovoltaic Cells; Solar Radiation",TC.340,404,2.05,-15.1,1.0,94.511
"Health Literacy; Patients; Internet",TC.717,404,4.15,18.3,2.17,69.612
"Synchronization; Chaotic Systems; Chaos Theory",TC.210,403,2.24,-8.1,1.31,85.408
"Attention Deficit Disorder With Hyperactivity; Child; Methylphenidate",TC.721,401,5.89,39.3,1.43,67.805
"Ultrasonics; Elasticity Imaging Techniques; Ultrasonic Imaging",TC.428,401,3.42,-5.1,1.25,75.837
"Vaccination; Vaccines; Immunization",TC.367,399,3.93,48.3,1.59,70.482
"Criminals; Violence; Mental Health",TC.388,399,4.04,-8.6,1.12,63.32
"Noise Pollution; Acoustic Waves; Acoustic Variables Control",TC.654,399,4.79,13.2,1.51,51.406
"Cytomegalovirus; Cytomegalovirus Infections; Herpes Zoster",TC.225,395,3.34,-19.2,1.78,72.557
"Drosophila; Drosophila Melanogaster; Genetic Selection",TC.459,391,4.6,-10.4,1.52,81.258
"Coronary Artery Disease; Patients; Echocardiography",TC.268,391,3.1,22.9,1.41,76.372
"Fires; Marsupial; Marsupialia",TC.953,391,12.7,32.4,1.3,43.373
"Structural Health Monitoring; Damage Detection; Modal Analysis",TC.514,390,3.35,-27.2,1.22,69.746
"Seismic Waves; Seismology; Seismic Data",TC.371,390,2.41,-5.5,1.08,51.138
"Electronic Health Records; Medical Informatics; Delivery Of Health Care",TC.346,388,2.92,22.5,1.58,71.419
"China; Asia; Chinese",TC.495,384,3.75,-25.0,1.16,42.503
"Chiroptera; Bat; Rodents",TC.296,383,5.0,-0.8,1.44,59.036
"Transgendered Persons; Female Homosexuality; Bisexuality",TC.580,382,3.68,1.4,1.68,74.9
"Literacy; Teacher; Student",TC.450,380,3.27,-18.4,1.54,46.185
"Algae; Microalgae; Biodiesel",TC.517,379,3.25,-8.5,1.74,92.637
"Cannabinoids; Cannabis; Endocannabinoids",TC.318,377,3.0,15.1,1.51,88.42
"Primates; Pan Troglodytes; Behavior",TC.350,375,4.13,39.4,1.63,75.435
"Discharge; Plasma Applications; Plasma Jets",TC.184,375,2.45,6.9,1.15,83.534
"Viruses; Mosaic Viruses; Phytoplasma",TC.293,374,3.74,-4.3,1.48,74.364
"Solitons; Waves; Nonlinear Equations",TC.235,373,2.7,7.1,0.94,72.49
"MEMS; Gyroscopes; Resonators",TC.246,373,2.29,4.8,0.67,78.983
"Decision Making; Fuzzy Sets; Models",TC.211,372,1.81,-7.7,1.79,88.621
"Machining; Cutting; Milling (Machining)",TC.179,371,1.63,56.2,1.35,88.286
"Forest; Deforestation; Conservation",TC.663,370,4.22,23.0,1.96,75.1
"Oxytocin; Hydrocortisone; Anxiety",TC.432,370,4.42,-19.2,1.62,82.664
"Planning; Governance; Community",TC.577,368,4.49,0.4,1.46,60.643
"Fluidized Beds; Fluidization; Granular Materials",TC.461,367,3.98,25.5,1.03,71.888
"Mitochondrial Genome; Transfer RNA; Genes",TC.650,366,4.61,35.3,2.6,69.143
"Clostridium Difficile; Clostridium Infections; Anthrax",TC.610,365,5.06,9.4,2.49,66.934
"International Law; Human Rights; Responsibility",TC.363,365,2.89,13.8,0.92,33.802
"Contraception; Women; Contraceptive Agents",TC.409,363,3.98,4.1,1.32,60.776
"Partial Discharges; Insulation; Power Transformers",TC.297,363,2.12,-28.8,1.36,68.34
"Vascular Endothelial Growth Factor A; Neoplasms; Endothelial Cells",TC.429,362,3.73,98.4,1.38,79.05
"Education; Wages; Inequality",TC.657,362,4.29,12.9,1.32,59.973
"Fires; Forests; Wildfires",TC.278,361,3.32,1.8,1.47,77.778
"Analgesia; Nerve Block; Bupivacaine",TC.305,360,3.09,7.3,1.28,64.324
"Child; Malnutrition; Food",TC.934,360,6.84,26.6,1.5,55.489
"Scheduling; Algorithms; Optimization",TC.192,360,1.93,-12.9,0.87,83.199
"Sphingosine; Enzyme Replacement Therapy; Sphingolipids",TC.330,355,3.34,21.6,1.24,81.191
"Photosystem II Protein Complex; Photosynthesis; Chlorophyll",TC.329,355,4.07,9.4,1.48,83.668
"Magnetic Resonance Imaging; Image Segmentation; Medical Imaging",TC.507,355,3.18,24.5,1.63,69.88
"Ecosystem Services; Willingness To Pay; Valuation",TC.955,354,5.52,-15.1,2.94,76.64
"Buckling; Vibration Analysis; Functionally Graded Materials",TC.240,353,2.51,-30.7,1.15,81.861
"Atoms; Bose-Einstein Condensates; Gases",TC.332,352,3.25,8.9,1.29,81.392
"International Relations; Security; Politics",TC.548,351,3.79,-5.5,1.37,36.814
"Wounds And Injuries; Pressure Ulcer; Bandages",TC.372,351,3.35,15.9,1.32,66.667
"Pheochromocytoma; Paraganglioma; Hydrocortisone",TC.286,350,3.17,2.8,1.48,69.344
"Opioid Analgesics; Pain; Prescriptions",TC.510,348,3.58,-10.9,1.94,78.916
"Fatty Liver; Liver Diseases; Alcoholic Fatty Liver",TC.1042,347,5.01,8.0,2.44,77.175
"Pituitary Neoplasms; Growth Hormone; Acromegaly",TC.217,347,3.23,3.9,1.13,68.942
"Asteroids; Comets; Mars",TC.133,346,2.28,30.8,1.05,86.747
"Roofs; Heat Island; Buildings",TC.622,345,3.49,14.9,1.66,84.404
"Conflict; Peace; War",TC.489,345,3.2,-6.0,1.23,51.874
"Heart Diseases; Patients; Congenital Heart Defects",TC.266,345,2.32,-1.1,1.43,64.726
"Proton Exchange Membrane Fuel Cells (PEMFC); Electrocatalysts; Electrolytic Reduction",TC.229,344,1.73,-12.4,1.37,96.988
"Microscopy; Microscopic Examination; Imaging Techniques",TC.602,344,3.43,32.7,0.93,82.731
"Atomic Force Microscopy; Self Assembled Monolayers; Molecules",TC.345,344,3.27,2.7,1.16,84.137
"Metabolomics; Metabolome; Mass Spectrometry",TC.858,343,4.55,33.1,2.98,84.538
"Wings; Aircraft; Aerodynamics",TC.714,343,4.25,16.4,2.08,51.807
"Vowels; Language; Dialect",TC.418,343,3.59,23.8,1.64,35.274
"Drosophila; Insects; Drosophila Melanogaster",TC.342,343,4.55,7.9,1.19,72.222
"Stomach Neoplasms; Esophageal Neoplasms; Gastrectomy",TC.309,342,2.4,-3.5,1.64,75.904
"Whales; Dolphins; Seals",TC.516,342,4.56,-28.9,2.09,85.274
"Huntington Disease; Myotonic Dystrophy; Spinocerebellar Ataxias",TC.794,341,5.48,1.9,1.3,65.73
"Synthetic Aperture Radar; Radar; Radar Imaging",TC.204,337,1.47,31.1,1.1,81.794
"Abdominal Aortic Aneurysm; Aneurysm; Dissection",TC.287,336,2.48,12.4,0.97,60.843
"Renin-Angiotensin System; Peptidyl-Dipeptidase A; Angiotensins",TC.481,336,6.7,8.8,1.59,53.012
"Nanoparticles; Liposomes; Pharmaceutical Preparations",TC.473,335,3.17,-22.9,2.06,91.7
"Lipases; Biocatalysts; Biocatalysis",TC.323,334,3.33,-6.1,1.0,87.082
"Magnesium Alloys; Alloys; Aluminum Alloys",TC.106,333,1.25,-2.3,1.18,91.834
"Students; Education; Teaching",TC.542,331,2.64,36.7,1.9,74.833
"Artificial Respiration; Adult Respiratory Distress Syndrome; Noninvasive Ventilation",TC.382,330,3.28,27.0,1.39,71.218
"Polyurethanes; Shape Memory Effect; Epoxy Resins",TC.402,328,2.89,28.3,1.48,87.885
"Biodiesel; Diesel Engines; Engine Cylinders",TC.165,328,1.41,-9.0,0.95,93.909
"Research; Communication; Dance",TC.764,327,4.23,-13.9,1.0,37.416
"Student; Education; Learning",TC.913,327,5.24,-29.0,1.38,37.483
"Ultrashort Pulses; Laser Induced Breakdown Spectroscopy; Ultrafast Lasers",TC.435,326,3.03,-6.0,0.84,76.104
"Verbs; Language; Semantics",TC.298,326,2.45,1.7,1.06,28.179
"Great Britain; Eighteenth Century; Nineteenth Century",TC.480,326,4.21,4.5,1.02,16.667
"Aquifers; Groundwater Resources; Groundwater Flow",TC.282,325,2.77,-4.7,1.1,80.187
"Phase Equilibria; Binary Mixtures; Equations Of State",TC.135,323,2.31,27.3,1.57,85.141
"Amyotrophic Lateral Sclerosis; Motor Neurons; Patients",TC.1021,322,5.57,11.1,2.23,78.514
"Nigeria; Africa; African",TC.513,321,3.73,-8.3,1.1,23.092
"Pulmonary Hypertension; Pulmonary Artery; Patients",TC.492,321,4.09,-29.6,2.48,66.064
"Holography; Holograms; Computer Generated Holography",TC.335,320,2.49,35.7,1.03,68.072
"Arsenic; Arsenate; Iron Oxides",TC.569,320,3.56,-52.8,1.34,84.471
"Benthic Foraminifera; Planktonic Foraminifera; Paleoceanography",TC.773,318,7.87,12.8,3.13,59.371
"Humor; Conversation Analysis; Politeness",TC.530,318,3.16,-9.1,1.69,47.858
"Gipsy; Muslim; Gender",TC.750,318,4.2,23.1,1.4,29.652
"Microfinance; Farmers; Cooperative",TC.532,317,3.59,-18.5,1.01,57.764
"Bioremediation; Biodegradation; Soils",TC.280,316,2.73,-9.5,0.93,86.212
"Mental Health; Homeless Persons; Mental Health Services",TC.499,316,4.25,12.9,1.07,53.28
"Ionic Liquids; Eutectics; Negative Ions",TC.847,314,3.21,20.2,1.55,92.102
"Foams; Energy Absorption; Crashworthiness",TC.803,313,3.67,-11.6,2.46,72.758
"Rivers; Scour; Sediment Transport",TC.468,313,3.42,20.2,1.49,67.671
"Psychotherapy; Counseling; Psychology",TC.311,312,3.26,33.9,1.05,53.949
"Neoplasms; Sarcoma; Bone And Bones",TC.193,311,1.94,10.7,0.85,68.742
"Water; Water Resources; Water Management",TC.527,311,3.04,-5.9,1.66,79.585
"Uric Acid; Gout; Hyperuricemia",TC.1000,311,5.62,25.1,1.74,56.292
"Poverty; Inequality; Development",TC.1107,310,6.3,1.2,1.18,31.66
"Family; Woman; Marriage",TC.500,310,3.88,38.8,1.28,47.992
"Cystic Fibrosis; Cystic Fibrosis Transmembrane Conductance Regulator; Pseudomonas Aeruginosa",TC.641,309,4.71,38.3,1.91,67.537
"Psychology; Well-Being; Happiness",TC.713,308,3.71,5.7,1.35,65.663
"Drying; Moisture Determination; Thermal Processing (Foods)",TC.405,307,2.9,2.0,1.64,79.853
"Artificial Intelligence; Algorithms; Semantics",TC.411,307,2.87,-20.4,1.44,52.878
"Spinal Cord Injuries; Wheelchairs; Rehabilitation",TC.841,306,4.91,19.4,2.3,52.677
"Proteins; Membranes; Endocytosis",TC.498,306,4.16,29.5,1.17,78.246
"Sports; Athletes; Football",TC.567,304,3.07,5.3,1.16,52.945
"Students; Teacher; Learning",TC.337,304,2.23,-29.1,1.55,70.348
"Botswana; Rock Art; Southern Africa",TC.1190,304,11.17,-11.8,1.49,14.926
"Burns; Wounds And Injuries; Cicatrix",TC.545,304,4.27,-8.6,0.98,48.327
"Carbon Capture; Shale; Storage (Materials)",TC.635,303,2.56,49.0,1.61,80.254
"Bariatric Surgery; Gastric Bypass; Obesity",TC.865,303,3.62,-24.9,3.3,71.486
"Cracks; Stress Intensity Factors; Crack Propagation",TC.303,302,2.77,34.3,0.95,61.312
"Personality; Borderline Personality Disorder; Personality Disorders",TC.689,301,4.36,8.9,1.54,62.985
"Law; Court; Human Rights",TC.757,299,5.02,-24.3,0.83,22.959
"Research; Science; Periodicals As Topic",TC.932,298,4.18,-14.0,3.31,73.427
"Telemedicine; Technology; Patients",TC.851,298,4.87,9.6,1.73,50.535
"Rehabilitation; Depression; Patients",TC.601,298,4.38,31.7,1.79,59.304
"Landslides; Debris Flow; Slope Stability",TC.553,297,2.87,-15.0,1.0,69.076
"Urinary Bladder Neoplasms; Cystectomy; Carcinoma",TC.417,297,3.14,-8.9,2.19,66.131
"Knowledge Management; Industry; Research",TC.325,296,2.49,-21.6,1.08,67.47
"Exergy; Heat Pump Systems; Rankine Cycle",TC.271,296,1.44,-9.8,1.1,96.051
"Memory; Hippocampus; Learning",TC.412,296,3.51,35.7,1.05,80.12
"Terahertz Waves; Terahertz Spectroscopy; Millimeter Waves",TC.701,295,3.54,-12.4,0.88,54.083
"Aneurysm; Intracranial Aneurysm; Subarachnoid Hemorrhage",TC.288,293,2.16,2.6,1.16,63.855
"Infertility; Twins; Assisted Reproductive Techniques",TC.625,293,4.02,-29.7,1.82,52.142
"Governance; Government; Public Services",TC.611,293,3.73,8.8,1.39,54.685
"Energy Harvesting; Harvesters; Piezoelectricity",TC.1142,292,4.06,6.5,1.46,62.45
"Apoptosis; Cells; Neoplasms",TC.421,292,3.08,25.7,1.35,84.806
"Hydrogels; Acrylic Monomers; Swelling",TC.506,292,3.19,18.6,1.55,87.617
"Horses; Horse Diseases; Exercise",TC.452,290,4.57,-20.8,1.24,38.153
"Adsorption; Adsorbents; Activated Carbon",TC.191,289,1.21,20.2,1.43,97.189
"Schools; Students; Disability",TC.394,288,3.15,-2.3,1.22,51.272
"Emigrants And Immigrants; Hispanic Americans; Acculturation",TC.646,288,3.42,26.2,1.58,61.513
"Quantitative Structure-Activity Relationship; Drug Discovery; Pharmaceutical Preparations",TC.387,286,2.55,-27.3,1.77,78.313
"Trade Unions; Workers; Labor",TC.524,286,4.43,-0.3,1.18,30.723
"Genome; Bacterial Typing Techniques; Vitamin K 2",TC.456,285,2.48,3.8,0.96,80.656
"Hypertrophic Cardiomyopathy; Myosins; Cardiomyopathies",TC.554,285,4.7,36.5,1.18,60.576
"China; Chinese; Qing",TC.677,285,3.82,-1.9,0.78,13.119
"Testosterone; Face; Behavior",TC.928,285,4.85,-6.6,1.28,59.17
"Ubiquitins; Endoplasmic Reticulum Stress; Proteasome Endopeptidase Complex",TC.687,284,3.07,15.0,1.2,83.869
"Guided Electromagnetic Wave Propagation; Structural Health Monitoring; Ultrasonic Waves",TC.520,283,3.07,-30.0,0.87,60.509
"Ticks; Lyme Disease; Borrelia Burgdorferi",TC.269,282,2.45,-15.4,1.39,75.368
"Martin Heidegger; Nietzsche; Phenomenology",TC.546,282,2.53,-17.9,1.07,22.222
"Robots; Robotics; Human Robot Interaction",TC.591,281,2.4,23.5,1.44,67.001
"Human Engineering; Ergonomics; Automation",TC.588,281,3.12,-4.0,2.16,56.961
"Railroads; Rails; Railroad Transportation",TC.606,280,2.94,57.2,1.05,51.606
"Calcium Carbonate; Calcite; Fouling",TC.758,278,3.61,-24.1,1.2,76.573
"Boiling Liquids; Heat Transfer; Two Phase Flow",TC.273,278,1.63,-5.3,0.9,82.262
"Mesothelioma; Asbestos; Neoplasms",TC.682,277,5.38,-14.7,1.59,54.351
"Renal Cell Carcinoma; Nephrectomy; Neoplasms",TC.341,277,2.28,43.7,2.06,70.147
"Neoplastic Stem Cells; Neoplasms; Breast Neoplasms",TC.860,277,3.21,-0.8,1.5,83.735
"Indonesia; Malaysia; Thailand",TC.676,277,3.79,-23.4,1.13,24.9
"DNA; Microsatellite Repeats; Population",TC.604,276,3.85,-6.8,1.92,68.608
"Patients; Percutaneous Nephrostomy; Kidney Calculi",TC.249,276,2.1,-5.8,0.93,61.379
"Vertigo; Cerebellum; Dizziness",TC.453,276,3.79,9.0,1.49,58.768
"Stilbenes; Sirtuin 1; Sirtuins",TC.983,275,3.54,37.9,1.81,82.597
"Wheat; Triticum; Triticum Aestivum",TC.617,275,5.57,13.6,2.21,58.501
"Optimization; Uncertainty Analysis; Reliability Analysis",TC.683,275,3.04,-14.1,1.3,60.107
"Breast Neoplasms; Tamoxifen; Estrogen Receptors",TC.439,274,3.94,-8.6,1.82,71.553
"Laboratories; Patients; Medicine",TC.789,274,4.26,42.6,1.57,49.264
"Mammaplasty; Free Tissue Flaps; Perforator Flap",TC.321,274,2.13,-2.6,1.07,62.651
"Complementary Therapies; Homeopathy; Patients",TC.474,272,3.57,14.5,1.07,52.276
"Vascular Stiffness; Pulse Wave Analysis; Blood Pressure",TC.874,271,3.69,-7.6,1.45,58.568
"Finite Group; Subgroup; Group",TC.855,271,5.94,-32.7,1.08,5.087
"Image Coding; Video Signal Processing; Image Compression",TC.250,270,2.29,-27.8,0.99,50.602
"Inflammasomes; Inflammation; Toll-Like Receptor 4",TC.551,269,2.53,17.5,1.66,86.948
"Sensors; Accelerometers; Smartphones",TC.880,268,2.7,-3.8,1.61,69.813
"Dogs; Cats; Neoplasms",TC.326,265,2.9,23.6,1.09,45.181

"© 2019 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
