Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Western Australia"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Galaxies; Stars; Planets",TC.1,716,1.11,59.5,3.98,99.264
"Speech; Speech Recognition; Models",TC.156,21,0.09,0.4,1.65,82.999
"Rivers; Scour; Sediment Transport",TC.468,21,0.23,35.9,1.77,67.671
"New Species; Brazil; Rubiaceae",TC.572,21,0.42,143.0,2.32,34.806
"Glaciers; Holocene; Glacial Geology",TC.103,20,0.12,-76.3,1.85,91.098
"Chromatin; Histones; Epigenomics",TC.201,20,0.1,-15.5,2.39,96.653
"Raman Spectroscopy; Fluid Inclusion; Sapphire",TC.1320,20,1.22,-55.5,0.86,10.843
"Silicon Solar Cells; Solar Cells; Silicon",TC.97,20,0.1,88.9,0.48,88.889
"Cannabinoids; Cannabis; Endocannabinoids",TC.318,20,0.16,-85.7,1.31,88.42
"Dogs; Pets; Cats",TC.964,20,0.4,-37.8,1.84,40.562
"Buckling; Vibration Analysis; Functionally Graded Materials",TC.240,20,0.14,96.0,1.33,81.861
"Research; Science; Periodicals As Topic",TC.932,20,0.28,-14.0,2.49,73.427
"Neoplastic Stem Cells; Neoplasms; Breast Neoplasms",TC.860,20,0.23,-67.5,2.26,83.735
"Dune; Wind Erosion; Sand",TC.1031,20,0.7,-100.0,1.07,32.932
"Health; Research; Income",TC.1068,20,0.31,240.2,75.52,60.71
"Gipsy; Muslim; Gender",TC.750,20,0.26,-,1.3,29.652
"Education; Wages; Inequality",TC.657,20,0.24,-35.1,0.98,59.973
"Masonry Materials; Masonry Construction; Brick",TC.1003,20,0.28,-13.6,1.47,61.111
"Vascular Endothelial Growth Factor A; Neoplasms; Endothelial Cells",TC.429,19,0.2,37.9,1.9,79.05
"Algae; Microalgae; Biodiesel",TC.517,19,0.16,16.9,1.53,92.637
"Idiopathic Pulmonary Fibrosis; Interstitial Lung Diseases; Langerhans-Cell Histiocytosis",TC.673,19,0.26,224.6,1.4,59.639
"Kalman Filters; Target Tracking; Algorithms",TC.333,19,0.13,-8.2,1.08,59.906
"Terahertz Waves; Terahertz Spectroscopy; Millimeter Waves",TC.701,19,0.23,-66.2,1.72,54.083
"Crabs; Decapoda; Lobsters",TC.328,19,0.31,-57.6,0.65,45.582
"Transgendered Persons; Female Homosexuality; Bisexuality",TC.580,19,0.18,-35.3,1.43,74.9
"Serotonin; Depression; Serotonin Plasma Membrane Transport Proteins",TC.357,19,0.3,-,1.14,69.545
"Escherichia Coli; Bacteria; Quorum Sensing",TC.198,19,0.12,483.5,0.97,92.838
"Learning; Students; Education",TC.557,19,0.21,118.7,1.53,50.937
"Rehabilitation; Depression; Patients",TC.601,19,0.28,-7.6,2.25,59.304
"Infertility; Twins; Assisted Reproductive Techniques",TC.625,19,0.26,-83.5,2.28,52.142
"Trade Unions; Workers; Labor",TC.524,19,0.29,127.5,0.83,30.723
"Plasmons; Metamaterials; Surface Plasmon Resonance",TC.47,19,0.03,92.1,1.7,99.531
"Microstructure; Steel; Austenite",TC.20,19,0.05,-41.7,1.11,97.323
"Ionization; Cross Sections; Ions",TC.237,18,0.25,-16.8,0.44,48.26
"Shakespeare; Early Modern; Theatre",TC.755,18,0.34,-5.6,0.4,1.941
"Benthic Foraminifera; Planktonic Foraminifera; Paleoceanography",TC.773,18,0.45,30.8,1.25,59.371
"Squamous Cell Carcinoma; Head And Neck Neoplasms; Carcinoma",TC.264,18,0.13,-,1.32,76.841
"Publications; Periodicals As Topic; Research",TC.275,18,0.09,16.4,0.5,84.27
"Hyperbaric Oxygenation; Diving; Air Embolism",TC.1223,18,0.69,470.1,0.5,14.391
"Aortic Valve; Mitral Valve; Aortic Valve Stenosis",TC.243,18,0.09,-39.7,1.21,86.814
"Seeds; Germination; Seedlings",TC.926,18,0.52,-20.3,2.07,17.805
"Futures; Foresight; Scenarios",TC.1059,18,0.38,61.5,0.73,38.42
"DNA; Microsatellite Repeats; Population",TC.604,18,0.25,-10.5,1.36,68.608
"Dinosaur; Cretaceous; Fossils",TC.375,18,0.3,151.6,0.76,58.099
"Health; Socioeconomic Factors; Mortality",TC.537,18,0.18,-70.8,1.46,75.301
"Melatonin; Circadian Clocks; Circadian Rhythm",TC.396,18,0.22,-47.7,1.18,79.451
"Law; Court; Human Rights",TC.757,18,0.3,111.3,0.47,22.959
"Patients; Percutaneous Nephrostomy; Kidney Calculi",TC.249,18,0.14,-47.0,0.57,61.379
"Prenatal Diagnosis; Down Syndrome; First Pregnancy Trimester",TC.911,18,0.39,3.7,1.44,37.617
"Agents; Game Theory; Models",TC.173,18,0.08,86.1,0.32,81.058
"Neoplasms; Carcinoma; Skin",TC.1027,18,0.41,62.7,0.95,8.166
"Delivery Of Health Care; Patients; Hospitals",TC.160,18,0.08,-25.7,0.8,86.078
"Fiction; Postcolonial; Introduction",TC.867,17,0.28,-,0.96,5.622
"Child; Geography; Research",TC.596,17,0.18,-41.3,0.8,49.398
"Additives; Manufacture; Printing",TC.609,17,0.14,-,5.7,91.767
"Hydroxyapatite; Calcium Phosphate; Scaffolds",TC.247,17,0.1,270.3,0.68,93.507
"Foams; Energy Absorption; Crashworthiness",TC.803,17,0.2,-59.3,1.47,72.758
"Uric Acid; Gout; Hyperuricemia",TC.1000,17,0.31,-17.2,1.57,56.292
"Refugee; Migration; Migrant",TC.1156,17,0.34,-86.0,1.31,30.79
"Bacillariophyta; Dinophyceae; Toxins",TC.334,17,0.19,-36.2,1.33,78.447
"Fish; Brazil; Siluriformes",TC.730,17,0.35,-48.0,1.43,43.641
"Tourism; Tourists; Destination",TC.239,17,0.09,9.2,1.32,85.743
"Neisseria Meningitidis; Meningococcal Vaccines; Siderophores",TC.1002,17,0.5,71.1,1.74,44.177
"Urinary Bladder; Overactive Urinary Bladder; Women",TC.117,17,0.08,-33.2,1.14,80.054
"Orthodontics; Malocclusion; Temporomandibular Joint",TC.236,17,0.12,24.6,0.45,63.989
"Composite Materials; Homogenization Method; Elasticity",TC.1074,17,0.41,83.0,2.2,45.114
"Gallium Nitride; Light Emitting Diodes; High Electron Mobility Transistors",TC.208,17,0.09,69.7,0.56,87.149
"Nitric Oxide; Arginine; Nitric Oxide Synthase Type III",TC.449,17,0.27,145.3,2.63,70.013
"Nurses; Nursing; Students",TC.212,16,0.1,-23.8,0.96,68.273
"Intercropping; Nutrient Management; India",TC.954,16,0.39,354.0,1.55,27.51
"Environmental Impact Assessment; Environmental Assessment; Strategic Environmental Assessment",TC.1267,16,0.43,-23.6,1.92,36.412
"Pituitary Neoplasms; Growth Hormone; Acromegaly",TC.217,16,0.15,-73.6,2.1,68.942
"Nursing Homes; Long-Term Care; Caregivers",TC.482,16,0.19,-47.4,1.56,57.095
"Exergy; Heat Pump Systems; Rankine Cycle",TC.271,16,0.08,-100.0,1.65,96.051
"Proteins; Membranes; Endocytosis",TC.498,16,0.22,57.1,1.63,78.246
"Lakes; Reservoirs; Zooplankton",TC.446,16,0.27,58.7,1.72,55.288
"Research; Clinical Trials As Topic; Patients",TC.463,16,0.16,-12.0,1.35,62.048
"Tailings; Mines; Mining",TC.1082,16,0.39,-28.4,0.7,38.086
"Phosphines; Tribolium Castaneum; Coleoptera",TC.1199,16,0.62,-83.7,1.28,22.423
"Carbon Capture; Shale; Storage (Materials)",TC.635,16,0.13,-4.7,1.65,80.254
"Watersheds; Soil Erosion; Catchments",TC.476,16,0.19,-85.1,0.81,74.163
"Soviet; Holocaust; Russia",TC.469,16,0.15,-87.2,1.54,13.32
"Botswana; Rock Art; Southern Africa",TC.1190,16,0.59,20.8,1.87,14.926
"Personality; Borderline Personality Disorder; Personality Disorders",TC.689,16,0.23,548.3,1.95,62.985
"Soil; Pedogenesis; Chemical Weathering",TC.878,16,0.48,172.7,1.77,39.023
"Students; Engineering; Education",TC.306,16,0.14,-59.2,3.4,45.315
"Science; Risks; Nanotechnology",TC.550,16,0.17,194.2,25.02,71.687
"Suicide; Suicidal Ideation; Wounds And Injuries",TC.531,16,0.17,20.3,1.1,73.829
"HIV-1; HIV; HIV Infections",TC.188,16,0.11,142.1,0.95,88.755
"Bariatric Surgery; Gastric Bypass; Obesity",TC.865,15,0.18,353.4,35.57,71.486
"Pancreatic Neoplasms; Pancreatitis; Patients",TC.51,15,0.05,-38.1,8.9,89.893
"Hepatocellular Carcinoma; Liver; Neoplasms",TC.182,15,0.08,181.0,2.39,86.011
"Pain; Child; Pain Management",TC.1052,15,0.37,-39.3,1.41,40.094
"Combustion; Combustors; Ignition",TC.256,15,0.1,70.9,1.09,87.55
"Photocatalysis; Photocatalysts; Solar Cells",TC.8,15,0.02,-50.1,1.76,99.933
"Stormwater; Storm Sewers; Rainwater",TC.876,15,0.23,-19.6,1.27,67.403
"Food; Consumers; Farmers",TC.437,15,0.13,264.6,1.46,73.628
"Child; Malnutrition; Food",TC.934,15,0.28,-41.4,0.31,55.489
"Literacy; Teacher; Student",TC.450,15,0.13,-100.0,1.38,46.185
"Semantics; Models; Recommender Systems",TC.37,15,0.03,95.7,0.65,96.319
"Verbs; Language; Semantics",TC.298,15,0.11,-45.8,1.39,28.179
"Alleles; Nuclear Family; HLA Antigens",TC.1305,15,0.66,-32.9,0.91,17.47
"Calcium Carbonate; Calcite; Fouling",TC.758,15,0.19,-15.5,0.53,76.573
"Reynolds Number; Boundary Layers; Large Eddy Simulation",TC.34,15,0.04,22.9,0.92,89.96
"Well Logging; Reservoirs (Water); Petroleum Reservoirs",TC.1411,15,0.48,225.4,0.9,9.572
"DNA Repair; DNA Damage; Neoplasms",TC.104,15,0.08,-,2.03,93.574
"Mathematics; Students; Teacher",TC.391,14,0.11,32.1,1.01,65.529
"PPAR Gamma; AMP-Activated Protein Kinases; Lipids",TC.434,14,0.16,311.7,1.29,80.723
"Human Engineering; Ergonomics; Automation",TC.588,14,0.16,17.6,1.18,56.961
"Planning; Governance; Community",TC.577,14,0.17,186.2,0.46,60.643
"Learning; Geriatrics; Students",TC.923,14,0.3,-62.2,1.51,33.4
"Caves; Karst; Speleothem",TC.870,14,0.33,74.6,1.56,43.574
"Radiation; Tomography; Medical Imaging",TC.245,14,0.08,120.9,0.55,79.116
"Teachers; Language; Student",TC.265,14,0.07,-,1.11,73.36
"Breast Neoplasms; Tamoxifen; Estrogen Receptors",TC.439,14,0.2,12.7,3.6,71.553
"Education; Student; University",TC.666,14,0.19,-66.6,1.46,45.649
"Family; Woman; Marriage",TC.500,14,0.18,-,0.98,47.992
"Membranes; Desalination; Ultrafiltration",TC.223,14,0.07,-,1.55,97.925
"Radon; Radioisotopes; Radioactivity",TC.242,14,0.1,197.6,1.24,72.959
"Vascular Stiffness; Pulse Wave Analysis; Blood Pressure",TC.874,14,0.19,-75.7,1.01,58.568
"Blood Platelets; Thrombocytopenia; Platelet Count",TC.630,14,0.24,-60.0,2.37,49.063
"Wounds And Injuries; Patients; Emergencies",TC.380,14,0.13,-64.8,1.33,51.339
"Vasculitis; Mucocutaneous Lymph Node Syndrome; Giant Cell Arteritis",TC.539,14,0.18,-7.9,0.89,48.394
"Psychotherapy; Counseling; Psychology",TC.311,14,0.15,-75.0,1.05,53.949
"Electrical Resistivity; Ground Penetrating Radar Systems; Geological Surveys",TC.508,14,0.14,-19.1,0.54,49.799
"Composite Materials; Laminates; Fiber Reinforced Plastics",TC.183,14,0.07,29.6,1.11,86.613
"International Law; Human Rights; Responsibility",TC.363,14,0.11,171.0,0.32,33.802
"Scabies; Mites; Pediculus",TC.1398,14,0.72,108.2,1.27,9.705
"Soils; Agricultural Machinery; Excavators",TC.910,14,0.34,686.6,1.26,30.857
"Isoptera; Termite; Rhinotermitidae",TC.1457,14,1.05,786.3,1.42,10.509
"Huntington Disease; Myotonic Dystrophy; Spinocerebellar Ataxias",TC.794,14,0.22,-100.0,0.79,65.73
"Algorithms; Data Structures; Data Compression",TC.845,14,0.27,-62.5,1.09,21.888
"Diptera; Myiasis; Larva",TC.1195,14,0.48,-4.0,1.27,40.428
"Adaptive Filters; Algorithms; Active Noise Control",TC.1072,14,0.33,-,1.4,31.861
"Spinal Cord Injuries; Wheelchairs; Rehabilitation",TC.841,13,0.21,72.3,25.55,52.677
"Secondary Batteries; Electric Batteries; Lithium Alloys",TC.30,13,0.02,7.5,1.76,100.0
"Mitochondrial Genome; Transfer RNA; Genes",TC.650,13,0.16,-30.1,4.15,69.143
"Violence; Women; Child",TC.310,13,0.09,132.7,1.23,78.782
"Surveys; Data Collection; Interview",TC.1093,13,0.29,-78.8,0.61,33.467
"Pensions; Financial Literacy; Retirement",TC.1067,13,0.29,-40.2,1.57,25.301
"Coffee; Caffeine; Energy Drinks",TC.1192,13,0.33,85.6,3.49,58.635
"Venoms; Snake Bites; Antivenins",TC.571,13,0.23,-46.8,2.56,56.359
"Editorial; Periodicals As Topic; Publications",TC.1122,13,0.18,-24.9,0.49,26.707
"Parasites; Fishes; Myxozoa",TC.343,13,0.21,-100.0,0.46,45.85
"Synthetic Aperture Radar; Radar; Radar Imaging",TC.204,13,0.06,-,0.81,81.794
"Japan; Japanese; Korea",TC.949,13,0.26,122.5,1.4,6.024
"Manifold; Curvature; Metric",TC.158,13,0.06,476.3,3.33,63.788
"Care; Child; Child Welfare",TC.987,13,0.26,193.0,1.23,38.487
"Fossils; Cretaceous; Basin",TC.486,13,0.38,-10.1,14.23,35.007
"Cleft Palate; Cleft Lip; Craniosynostoses",TC.582,13,0.18,43.4,1.07,39.625
"Chiroptera; Bat; Rodents",TC.296,13,0.17,204.6,0.95,59.036
"Hausdorff Dimension; Map; Entropy",TC.599,13,0.2,-69.2,0.43,19.545
"Lung; Surface-Active Agents; Pulmonary Alveolar Proteinosis",TC.1011,13,0.41,-66.1,0.89,41.365
"Sphingosine; Enzyme Replacement Therapy; Sphingolipids",TC.330,13,0.12,1.6,1.37,81.191
"Inertial Confinement Fusion; Laser Produced Plasmas; Plasmas (Physics)",TC.312,13,0.11,662.6,1.39,65.06
"Student; Ethics; Integrity",TC.776,13,0.24,276.0,1.47,38.019
"Judgment; Decision Making; Probability",TC.780,13,0.2,532.9,0.85,54.886
"Syndrome; Intellectual Disability; Genes",TC.441,13,0.17,-,4.46,55.823
"Magnesium; Magnesium Sulfate; Serum",TC.1297,13,0.58,-3.2,0.86,27.845
"Psychology; Well-Being; Happiness",TC.713,13,0.16,-,0.84,65.663
"Metabolomics; Metabolome; Mass Spectrometry",TC.858,13,0.17,324.1,1.55,84.538
"Urinary Bladder Neoplasms; Cystectomy; Carcinoma",TC.417,13,0.14,-23.3,1.02,66.131
"Advanced Glycosylation End Products; HMGB1 Protein; Pyruvaldehyde",TC.736,12,0.18,-100.0,1.13,71.084
"Proteomics; Mass Spectrometry; Proteins",TC.227,12,0.07,419.7,1.02,92.503
"Cracks; Stress Intensity Factors; Crack Propagation",TC.303,12,0.11,11.2,0.85,61.312
"Sports; Athletes; Football",TC.567,12,0.12,10.8,0.82,52.945
"Volatile Oils; Antioxidants; Oils",TC.366,12,0.1,57.4,1.18,85.542
"Broiler Chickens; Laying Hens; Swine",TC.202,12,0.1,58.8,0.7,71.151
"Microfluidics; Fluidic Devices; Microchannels",TC.197,12,0.06,143.8,0.54,95.917
"Graph In Graph Theory; Coloring; Graphic Methods",TC.262,12,0.07,-13.1,0.79,59.505
"Ships; Offshore Structures; Navigation",TC.1163,12,0.27,-100.0,1.08,26.774
"Polychlorinated Biphenyls; Organic Pollutants; Halogenated Diphenyl Ethers",TC.209,12,0.08,-55.2,0.8,94.311
"Neoplasms; Sarcoma; Bone And Bones",TC.193,12,0.07,292.1,0.44,68.742
"Transforming Growth Factor Beta; Fibrosis; Neoplasms",TC.904,12,0.21,-100.0,1.01,65.395
"Drosophila; Insects; Drosophila Melanogaster",TC.342,12,0.16,-,1.82,72.222
"Geographic Information Systems; Maps; Models",TC.515,12,0.13,15.2,1.55,55.355
"Sickle Cell Anemia; Beta-Thalassemia; Hemoglobins",TC.562,12,0.18,-3.2,0.27,59.839
"G-Protein-Coupled Receptors; Arrestins; Ligands",TC.615,12,0.23,-40.7,3.02,72.423
"Pollinators; Flowers; Pollination",TC.1035,12,0.37,-9.8,1.69,41.7
"Pheochromocytoma; Paraganglioma; Hydrocortisone",TC.286,12,0.11,1.2,1.35,69.344
"Macrophytes; Aquatic Plants; Lakes",TC.1196,12,0.5,359.4,1.03,21.486
"Glycogen Storage Disease; Galactosemias; Galactose",TC.1367,12,0.76,-100.0,0.83,14.056
"Cryptosporidium; Giardia Lamblia; Parasites",TC.612,12,0.23,-29.5,1.69,53.481
"Positrons; Positron Annihilation Spectroscopy; Positronium",TC.1200,12,0.62,-100.0,0.53,16.6
"Allelopathy; Weeds; Extracts",TC.1374,12,0.57,-22.2,3.63,17.671
"Isotopes; Isotopic Fractionation; Sulfur Isotope",TC.1357,12,0.52,39.6,1.18,48.929
"Polyelectrolytes; Colloids; Dynamic Light Scattering",TC.1006,12,0.46,-38.7,0.67,35.074
"Arctic; Seas; Piracy",TC.938,12,0.27,-43.0,1.3,22.758
"Autonomous Underwater Vehicles; Underwater Acoustics; Remotely Operated Vehicles",TC.1150,12,0.23,90.6,2.82,37.082
"Morus; Flavonoids; Antioxidants",TC.1017,11,0.26,-43.4,0.64,45.248
"Finite Automata; Formal Languages; P Systems",TC.697,11,0.2,-100.0,1.1,25.368
"DNA; Barcoding; Polymerase Chain Reaction",TC.1157,11,0.24,-20.4,3.87,69.679
"Bioremediation; Biodegradation; Soils",TC.280,11,0.09,5.9,1.19,86.212
"Buildings; Design; Urban Planning",TC.857,11,0.14,32.7,1.76,59.772
"Sustainability; Sustainable Development; Students",TC.879,11,0.16,-100.0,1.0,53.213
"Rare Earth Elements; Europium; Luminescence",TC.726,11,0.22,160.7,0.99,63.922
"First World War; Great War; Fascism",TC.715,11,0.16,-100.0,0.24,8.099
"Hypertrophic Cardiomyopathy; Myosins; Cardiomyopathies",TC.554,11,0.18,-73.1,1.02,60.576
"India; Indian; Politics",TC.475,11,0.1,-78.8,0.45,34.137
"Arachis Hypogaea; Peanuts; Nuts",TC.1471,11,0.59,357.8,2.89,27.175
"Altitude; Anoxia; Altitude Sickness",TC.1246,11,0.38,-43.4,1.9,25.167
"Tensors; Blind Source Separation; Algorithms",TC.1080,11,0.21,-75.3,0.77,41.499
"Nausea; Vomiting; Antiemetics",TC.922,11,0.26,6.8,1.99,34.003
"Wetlands; Desertification; Plateau",TC.674,11,0.18,-38.3,1.34,46.854
"Basin; Cordillera; Miocene",TC.1158,11,0.55,-69.5,1.24,20.95

"© 2019 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
