Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Southampton"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Galaxies; Stars; Planets",TC.1,874,1.36,27.0,4.01,99.264
"Power Amplifiers; CMOS Integrated Circuits; Variable Frequency Oscillators",TC.122,22,0.1,-18.5,0.92,73.762
"Radiation; Tomography; Medical Imaging",TC.245,22,0.12,-17.2,1.58,79.116
"Superconductors (Materials); Superconducting Materials; Superconductivity",TC.50,22,0.12,-8.6,0.92,89.29
"Atomic Force Microscopy; Self Assembled Monolayers; Molecules",TC.345,22,0.21,-30.0,0.82,84.137
"Polycystic Ovary Syndrome; Women; Oocytes",TC.253,22,0.17,-70.1,1.87,77.711
"Thermoelectricity; Thermoelectric Equipment; Thermal Conductivity",TC.619,22,0.21,-41.4,1.34,89.558
"Welding; Friction Stir Welding; Welds",TC.270,21,0.12,-33.0,1.86,84.672
"Solitons; Waves; Nonlinear Equations",TC.235,21,0.15,90.7,0.76,72.49
"Humor; Conversation Analysis; Politeness",TC.530,21,0.21,-24.7,0.83,47.858
"Uterine Cervical Neoplasms; Papillomavirus Infections; Women",TC.189,21,0.12,-,1.93,83.802
"Ferroelectricity; Dielectric Properties; Ferroelectric Materials",TC.86,21,0.08,205.4,2.48,96.118
"Eating Disorders; Anorexia Nervosa; Body Image",TC.364,21,0.17,-55.0,2.07,86.145
"Inflammatory Bowel Diseases; Crohn Disease; Ulcerative Colitis",TC.276,21,0.14,-3.5,1.33,85.877
"Urinary Bladder; Overactive Urinary Bladder; Women",TC.117,21,0.1,702.2,0.9,80.054
"Memory; Episodic Memory; Learning",TC.448,21,0.22,73.1,1.06,73.226
"Biodiesel; Diesel Engines; Engine Cylinders",TC.165,21,0.09,40.4,0.87,93.909
"Contraception; Women; Contraceptive Agents",TC.409,21,0.23,-40.4,0.98,60.776
"Science; Risks; Nanotechnology",TC.550,21,0.22,-26.5,22.89,71.687
"Synchronization; Chaotic Systems; Chaos Theory",TC.210,20,0.11,-10.2,1.23,85.408
"Nitric Oxide; Arginine; Nitric Oxide Synthase Type III",TC.449,20,0.31,22.7,1.54,70.013
"Cells; Neoplasms; Hydrogels",TC.166,20,0.09,206.5,2.71,97.055
"Fractional; Fractional Order; Derivatives",TC.522,20,0.16,-66.7,2.14,75.569
"Mathematics; Students; Teacher",TC.391,20,0.16,-56.0,1.79,65.529
"Birds; Nests; Seabirds",TC.41,20,0.1,212.0,1.77,89.759
"Mast Cells; Histamine; Mastocytosis",TC.793,20,0.48,150.7,2.04,50.268
"Lung; Surface-Active Agents; Pulmonary Alveolar Proteinosis",TC.1011,20,0.63,-23.7,0.97,41.365
"Anticoagulants; Patients; Venous Thromboembolism",TC.26,20,0.06,67.8,0.83,92.303
"Glioma; Neoplasms; Glioblastoma",TC.222,20,0.11,-11.6,0.96,86.546
"Research; Science; Periodicals As Topic",TC.932,20,0.28,-,4.05,73.427
"Acupuncture; Acupuncture Points; Acupuncture Therapy",TC.556,20,0.25,16.5,1.25,44.779
"Optogenetics; Electrophysiology; Microelectrodes",TC.892,19,0.25,-18.6,0.99,72.624
"Electronic Health Records; Medical Informatics; Delivery Of Health Care",TC.346,19,0.14,22.2,1.36,71.419
"Whales; Dolphins; Seals",TC.516,19,0.25,-89.8,2.82,85.274
"Multiple Sclerosis; Patients; Neuromyelitis Optica",TC.304,19,0.13,20.0,1.6,87.952
"Poverty; Inequality; Development",TC.1107,19,0.39,-31.7,2.62,31.66
"Adaptive Filters; Algorithms; Active Noise Control",TC.1072,19,0.44,793.1,1.66,31.861
"Aquifers; Groundwater Resources; Groundwater Flow",TC.282,19,0.16,383.7,1.67,80.187
"Escherichia Coli; Bacteria; Quorum Sensing",TC.198,19,0.12,94.5,1.62,92.838
"Detonation; Shock Waves; Explosives",TC.1252,19,0.63,186.6,2.34,22.691
"Multiple Myeloma; Amyloidosis; Patients",TC.415,19,0.19,-88.4,1.42,77.108
"Ships; Offshore Structures; Navigation",TC.1163,19,0.43,70.6,0.61,26.774
"Breast Neoplasms; Early Detection Of Cancer; Women",TC.595,19,0.21,377.0,1.41,75.033
"Electroencephalography; Brain Computer Interface; Electrophysiology",TC.659,19,0.17,-79.4,2.77,76.975
"Organic Light Emitting Diodes (OLED); Solar Cells; Conjugated Polymers",TC.61,18,0.04,402.8,1.59,99.598
"Synthesis (Chemical); Derivatives; Pyridines",TC.67,18,0.07,-87.7,0.25,92.704
"Cholesterol; Lipids; Atherosclerosis",TC.79,18,0.08,-30.2,1.27,94.444
"Optimization; Algorithms; Evolutionary Algorithms",TC.259,18,0.09,66.6,1.31,82.195
"Harmonic Generations; Ultrashort Pulses; Laser Pulses",TC.386,18,0.16,-26.1,1.17,70.616
"Judgment; Decision Making; Probability",TC.780,18,0.28,352.1,1.17,54.886
"Scheduling; Algorithms; Optimization",TC.192,18,0.1,-13.9,1.78,83.199
"Care; Child; Child Welfare",TC.987,18,0.36,-2.3,3.72,38.487
"Insulin; Insulin-Secreting Cells; Islets Of Langerhans",TC.331,18,0.19,-100.0,2.15,82.062
"Education; Wages; Inequality",TC.657,18,0.21,-18.8,1.08,59.973
"Brain-Derived Neurotrophic Factor; Neurogenesis; Neurons",TC.161,18,0.12,-47.9,1.89,89.692
"Discharge; Plasma Applications; Plasma Jets",TC.184,18,0.12,305.0,0.52,83.534
"Hydroxyapatite; Calcium Phosphate; Scaffolds",TC.247,18,0.1,-25.9,3.95,93.507
"Containers; Freight Transportation; Ships",TC.881,18,0.27,-19.1,0.95,56.225
"Cables; Circular Cylinders; Fluid Structure Interaction",TC.466,18,0.16,38.0,1.05,53.681
"Microglia; Brain; Alzheimer Disease",TC.1331,18,0.6,-53.4,5.63,66.734
"Antennas; Slot Antennas; Microwave Antennas",TC.55,17,0.04,-23.5,2.06,91.031
"Genome; Neoplasms; Genes",TC.436,17,0.12,27.9,2.73,94.043
"Magnetic Resonance Imaging; Brain; Diffusion",TC.181,17,0.08,153.1,1.2,93.373
"Knowledge Management; Industry; Research",TC.325,17,0.14,4.6,0.82,67.47
"Algae; Microalgae; Biodiesel",TC.517,17,0.15,-22.1,2.0,92.637
"Optical Radar; Absorption Spectroscopy; Molecular Spectroscopy",TC.696,17,0.31,-37.3,0.98,44.444
"Publications; Periodicals As Topic; Research",TC.275,17,0.09,-,1.23,84.27
"Holography; Photopolymers; Holograms",TC.1302,17,0.98,79.7,1.44,7.162
"Research; Technology; Industry",TC.637,17,0.17,-52.9,1.67,70.281
"Delirium; Anesthesia; Propofol",TC.190,17,0.11,-11.5,2.33,80.79
"Watersheds; Soil Erosion; Catchments",TC.476,17,0.21,19.2,2.7,74.163
"Chaucer; Medieval; Tale",TC.807,17,0.42,24.0,0.6,0.87
"Education; Student; University",TC.666,17,0.23,484.4,2.83,45.649
"Students; Teacher; Learning",TC.337,17,0.12,-48.4,1.32,70.348
"Planning; Governance; Community",TC.577,17,0.21,-23.7,2.81,60.643
"Post-Traumatic Stress Disorders; Wounds And Injuries; Disasters",TC.283,16,0.1,-46.0,1.39,83.936
"Volunteers; Nonprofit; Charity",TC.1034,16,0.33,-100.0,1.69,32.731
"Stroke; Patients; Cerebral Hemorrhage",TC.138,16,0.07,-7.8,1.19,89.157
"Periodicals As Topic; Open Access; Library",TC.1015,16,0.29,-100.0,1.17,41.432
"Theatre; Fiction; Introduction",TC.547,16,0.17,141.4,0.51,9.906
"Bubbles; Cavitation; Cavitation Flow",TC.1375,16,0.65,4.4,1.61,20.214
"Photochemotherapy; Porphyrins; Photosensitizing Agents",TC.314,16,0.16,-48.4,1.13,85.81
"Shape Memory Effect; Martensitic Transformations; Martensite",TC.688,16,0.23,-66.0,1.58,66.332
"Hybrid Vehicles; Fuel Economy; Electric Vehicles",TC.727,16,0.17,191.6,2.04,64.659
"Memory; Hippocampus; Learning",TC.412,16,0.19,41.9,0.56,80.12
"Students; Science; Learning",TC.230,16,0.09,-80.1,1.68,70.75
"Transplants; Tissue Donors; Kidney Transplantation",TC.98,16,0.08,55.1,0.83,83.333
"Metallic Glass; Amorphous Alloys; Alloys",TC.361,16,0.16,-,3.38,86.68
"Metamaterials; Acoustics; Phonons",TC.1431,16,0.45,8.3,0.9,54.618
"Robots; Robotics; Manipulators",TC.101,16,0.05,85.7,0.51,88.956
"Women; Cesarean Section; Parturition",TC.397,16,0.13,244.3,2.2,67.202
"Particulate Matter; Air Pollution; Air Pollutants",TC.431,16,0.13,-43.8,2.4,89.09
"Diamonds; Diamond Films; Carbon Films",TC.352,16,0.19,-80.0,3.4,74.029
"Heavy Metals; Soils; Cadmium",TC.214,16,0.1,12.6,1.41,90.161
"Radon; Radioisotopes; Radioactivity",TC.242,16,0.12,98.4,1.01,72.959
"Block Copolymers; Micelles; Polymers",TC.112,16,0.07,-,1.13,97.858
"Constipation; Irritable Bowel Syndrome; Patients",TC.324,16,0.16,-83.5,1.77,73.494
"Detectors; High Energy Physics; Readout Systems",TC.560,16,0.2,-15.4,7.27,45.716
"Hypertension; Blood Pressure; Patients",TC.157,16,0.1,-27.2,9.47,82.932
"Metagenome; Probiotics; Bacteria",TC.215,16,0.07,27.7,4.64,98.661
"Clustering Algorithms; Data Mining; Cluster Analysis",TC.740,16,0.2,-51.3,0.94,50.669
"Groundwater; Groundwater Resources; Aquifers",TC.502,16,0.19,32.7,1.49,62.383
"Law; Contract; Court",TC.1189,15,0.49,-83.7,0.04,3.815
"Rhinitis; Sinusitis; Patients",TC.336,15,0.15,11.8,0.97,57.028
"Solar Energy; Photovoltaic Cells; Solar Radiation",TC.340,15,0.08,-22.9,0.46,94.511
"Stomach Neoplasms; Esophageal Neoplasms; Gastrectomy",TC.309,15,0.11,-11.1,2.02,75.904
"Transgendered Persons; Female Homosexuality; Bisexuality",TC.580,15,0.14,29.4,0.92,74.9
"Pituitary Neoplasms; Growth Hormone; Acromegaly",TC.217,15,0.14,-57.8,0.81,68.942
"Geology; History; Basin",TC.1215,15,1.0,-66.4,1.21,5.355
"Arctic; Seas; Piracy",TC.938,15,0.33,-62.0,0.73,22.758
"Students; Teaching; Education; Computer Science",TC.559,15,0.16,-39.7,2.26,53.414
"Artificial Respiration; Adult Respiratory Distress Syndrome; Noninvasive Ventilation",TC.382,15,0.15,10.0,1.86,71.218
"Occupational Therapy; Students; Physical Therapists",TC.902,15,0.33,4.1,1.0,34.605
"Atomic Clocks; Rubidium; Frequency Standards",TC.590,15,0.19,-,0.86,53.347
"First World War; Great War; Fascism",TC.715,15,0.22,-78.0,0.72,8.099
"Nanopores; DNA; Nanofluidics",TC.1487,15,0.54,-81.7,2.95,58.032
"Hydrogen Sulfide; Cystathionine Gamma-Lyase; Sulfides",TC.1365,15,0.43,92.3,3.28,62.517
"Music; Manuscripts; Composer",TC.1423,15,0.77,-2.5,1.33,0.134
"Agents; Multi Agent Systems; Models",TC.521,15,0.2,-68.7,1.31,39.224
"Additives; Manufacture; Printing",TC.609,15,0.13,-43.0,2.11,91.767
"Tribology; Friction; Wear Of Materials",TC.458,15,0.15,-100.0,0.53,65.194
"Drops; Hydrophobicity; Contact Angle",TC.374,15,0.1,-75.9,1.51,95.181
"Nanoparticles; Liposomes; Pharmaceutical Preparations",TC.473,15,0.14,-51.8,1.2,91.7
"Applications; Models; Ubiquitous Computing",TC.440,15,0.14,126.9,0.86,63.253
"Schools; Students; Disability",TC.394,14,0.15,-16.7,1.9,51.272
"Seismic Waves; Seismology; Seismic Data",TC.371,14,0.09,-,1.02,51.138
"Vertigo; Cerebellum; Dizziness",TC.453,14,0.19,-,1.85,58.768
"Neural Networks; Algorithms; Models",TC.1009,14,0.36,-,0.85,28.849
"Infertility; Twins; Assisted Reproductive Techniques",TC.625,14,0.19,-34.2,1.19,52.142
"Lubrication; Bearings (Machine Parts); Seals",TC.541,14,0.17,-,2.06,50.469
"Health; Research; Income",TC.1068,14,0.22,155.1,96.98,60.71
"Caenorhabditis Elegans; Caenorhabditis Elegans Proteins; Longevity",TC.1265,14,0.33,-84.1,0.96,64.793
"Adolescent; Pediatrics; Schools",TC.1224,14,0.39,-7.9,21.01,39.558
"Telomere; Telomerase; G-Quadruplexes",TC.863,14,0.18,-61.8,3.04,86.479
"Eosinophilic Esophagitis; Eosinophils; Eosinophilia",TC.1094,14,0.42,73.2,1.5,30.522
"Alcohols; Reward; Cocaine",TC.132,14,0.08,-79.8,5.04,92.771
"Forest; Deforestation; Conservation",TC.663,14,0.16,30.3,2.11,75.1
"Boltzmann Equation; Kinetic Theory; Lattices",TC.808,14,0.24,-71.3,2.04,52.075
"Lenses; Microlenses; Refractive Index",TC.1099,13,0.39,192.8,0.67,18.608
"Futures; Foresight; Scenarios",TC.1059,13,0.27,7.7,0.88,38.42
"Vascular Endothelial Growth Factor A; Neoplasms; Endothelial Cells",TC.429,13,0.13,-,0.68,79.05
"Rehabilitation; Depression; Patients",TC.601,13,0.19,-7.6,0.94,59.304
"Access Control; Public Policy; Models",TC.918,13,0.23,248.7,1.85,34.203
"Oral Health; Periodontitis; Dental Caries",TC.125,13,0.06,24.5,2.35,84.605
"Macroalgae; Rhodophycota; Seaweed",TC.454,13,0.18,66.4,2.33,74.23
"Terrorism; Organized Crime; Radicalism",TC.945,13,0.21,-21.4,1.62,37.952
"Rare Earth Elements; Europium; Luminescence",TC.726,13,0.26,160.7,1.02,63.922
"Menarche; Puberty; Precocious Puberty",TC.1085,13,0.42,-100.0,1.6,28.447
"Suicide; Suicidal Ideation; Wounds And Injuries",TC.531,13,0.14,7.0,1.46,73.829
"Law; Court; Human Rights",TC.757,13,0.22,-78.9,0.33,22.959
"Prime; Integer; Conjecture",TC.291,13,0.12,77.8,1.39,24.565
"Muscles; Duchenne Muscular Dystrophy; Skeletal Muscle",TC.385,13,0.13,259.0,1.44,80.589
"Prostatic Neoplasms; Prostate; Prostatectomy",TC.141,13,0.06,-100.0,2.4,94.779
"Life Cycle; Sustainable Development; Sustainability",TC.812,13,0.17,-100.0,0.53,84.873
"Africa; African; South Africa",TC.483,13,0.14,-50.3,1.16,34.337
"Dune; Wind Erosion; Sand",TC.1031,13,0.45,-75.5,1.1,32.932
"Sports; Students; Athletes",TC.443,13,0.11,66.7,2.14,73.293
"Hepatocellular Carcinoma; Liver; Neoplasms",TC.182,13,0.07,368.3,2.23,86.011
"Carbon Capture; Shale; Storage (Materials)",TC.635,13,0.11,233.5,3.03,80.254
"Folic Acid; Homocysteine; Vitamin B 12",TC.378,13,0.15,-,1.11,72.825
"Alcohols; Ethanol; Alcohol Drinking",TC.433,13,0.19,-51.1,5.08,67.269
"Epilepsy; Seizures; Electroencephalography",TC.73,12,0.05,-63.4,1.66,90.763
"Romantic; Wordsworth; Jane Austen",TC.1047,12,0.29,80.3,0.4,1.071
"Pancreatic Neoplasms; Pancreatitis; Patients",TC.51,12,0.04,271.6,1.93,89.893
"Visualization; Data Visualization; Flow Visualization",TC.936,12,0.18,393.1,1.12,50.402
"Non-Small-Cell Lung Carcinoma; Lung Neoplasms; Patients",TC.124,12,0.04,27.4,1.08,95.582
"Airports; Air Transportation; Aircraft",TC.763,12,0.17,-12.7,1.82,48.594
"Patients; Percutaneous Nephrostomy; Kidney Calculi",TC.249,12,0.09,59.0,1.21,61.379
"China; Asia; Chinese",TC.495,12,0.12,-,1.12,42.503
"Victorian; Fiction; Women",TC.728,12,0.18,-3.3,0.77,4.552
"Helicobacter Pylori; Gastroesophageal Reflux; Helicobacter Infections",TC.90,12,0.06,4.2,2.07,85.944
"Cells; Drosophila; Neoplasms",TC.110,12,0.05,-,1.3,94.645
"Peptides; Proteins; Peptidylprolyl Isomerase",TC.722,12,0.26,263.3,1.54,65.127
"Beckett; Modernism; Poetry",TC.889,12,0.2,-33.5,0.75,3.481
"Foams; Energy Absorption; Crashworthiness",TC.803,12,0.14,-86.4,1.32,72.758
"Irrigation; Wireless Sensor Networks; Sensor Nodes",TC.1295,12,0.28,-100.0,1.82,29.05
"Research; Communication; Dance",TC.764,12,0.16,72.1,0.86,37.416
"Nanomagnetics; Magnetic Fluids; Nanoparticles",TC.680,12,0.12,422.0,2.15,88.22
"Prenatal Diagnosis; Down Syndrome; First Pregnancy Trimester",TC.911,12,0.26,-74.1,2.07,37.617
"Lithography; Extreme Ultraviolet Lithography; Photoresists",TC.509,12,0.2,-100.0,0.98,36.011
"Nucleosides; Oligonucleotides; DNA",TC.414,12,0.24,-38.8,0.91,63.119
"Patents; Copyright; Intellectual Property",TC.586,12,0.17,-25.0,1.26,28.715
"Gambling; Internet; Students",TC.555,12,0.1,-4.0,1.09,87.751
"Virtual Reality; Feedback; Haptic Interfaces",TC.941,12,0.18,-55.7,1.25,49.197
"Macroinvertebrates; Streams; Rivers",TC.430,12,0.19,33.7,1.71,62.249
"Fossils; Cretaceous; Basin",TC.486,11,0.32,-,1.41,35.007
"Stevens-Johnson Syndrome; Toxic Epidermal Necrolysis; Pharmaceutical Preparations",TC.897,11,0.22,-52.3,2.1,36.747
"Jewish; Jews; Rabbis",TC.1185,11,0.35,-,0.5,1.272
"Echinococcosis; Schistosomiasis; Parasites",TC.109,11,0.07,166.5,1.24,79.92
"Electrical Resistivity; Ground Penetrating Radar Systems; Geological Surveys",TC.508,11,0.11,-,0.42,49.799
"Chromatin; Histones; Epigenomics",TC.201,11,0.06,26.8,1.68,96.653
"Ozonization; Degradation; Wastewater Treatment",TC.206,11,0.04,-100.0,1.87,98.728
"Nanoparticles; Metal Nanoparticles; Nanostructures",TC.700,11,0.08,-28.5,1.93,94.98
"Museums; Art; Culture",TC.759,11,0.14,-,1.36,39.357
"Prions; Prion Diseases; Creutzfeldt-Jakob Syndrome",TC.982,11,0.32,-65.1,0.66,46.653
"European Union (EU); Europe; Governance",TC.505,11,0.1,239.0,1.11,46.319
"Quantum Chemistry; Potential Energy Surfaces; Reaction",TC.255,11,0.16,314.1,0.43,72.021
"Blood; Blood Transfusion; Patients",TC.272,11,0.09,157.0,0.43,74.297
"Catheters; Renal Dialysis; Central Venous Catheters",TC.651,11,0.14,-100.0,3.6,43.307
"HIV-1; HIV; HIV Infections",TC.188,11,0.08,-,0.84,88.755
"Amyotrophic Lateral Sclerosis; Motor Neurons; Patients",TC.1021,11,0.19,63.6,1.86,78.514
"Tree Ring; Trees; Growth Rings",TC.370,11,0.12,56.5,1.43,85.676
"Breast Neoplasms; Tamoxifen; Estrogen Receptors",TC.439,11,0.16,-62.4,2.77,71.553
"Pharmaceutical Preparations; Methods; Pharmacokinetics",TC.1136,11,0.28,-31.4,0.27,43.775
"Apoptosis; Cells; Neoplasms",TC.421,11,0.12,-63.3,1.67,84.806
"International Law; Human Rights; Responsibility",TC.363,11,0.09,-,1.21,33.802

"© 2019 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
