Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Bergen"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Decay; Quarks; Neutrinos",TC.6,775,1.61,8.2,3.74,98.394
"Manifold; Curvature; Metric",TC.158,12,0.06,64.6,0.53,63.788
"Migration; Migrant; Immigrant",TC.419,12,0.1,679.8,2.68,59.572
"Mitochondrial Genome; Transfer RNA; Genes",TC.650,12,0.15,-53.4,5.39,69.143
"Literacy; Teacher; Student",TC.450,12,0.1,109.1,0.47,46.185
"Neutrophils; NADPH Oxidase; Reactive Oxygen Species",TC.1038,12,0.28,55.2,2.98,66.265
"Synthetic Aperture Radar; Radar; Radar Imaging",TC.204,12,0.05,-79.0,1.68,81.794
"Transgendered Persons; Female Homosexuality; Bisexuality",TC.580,12,0.12,-35.3,0.99,74.9
"Pneumothorax; Lung; Pleural Effusion",TC.693,12,0.19,-60.9,0.9,31.191
"Refugee; Migration; Migrant",TC.1156,12,0.24,110.4,1.59,30.79
"Malnutrition; Enteral Nutrition; Patients",TC.313,12,0.11,321.4,1.45,71.285
"Color; Art; Esthetics",TC.1351,12,0.37,-65.3,2.18,31.058
"Telomere; Telomerase; G-Quadruplexes",TC.863,12,0.16,205.4,2.06,86.479
"Metagenome; Probiotics; Bacteria",TC.215,12,0.05,-,3.54,98.661
"Carnivores; Ungulates; Deer",TC.224,12,0.09,-100.0,1.14,81.124
"Intelligence; Child; Psychology",TC.760,12,0.25,4.9,2.88,43.909
"Renal Cell Carcinoma; Nephrectomy; Neoplasms",TC.341,12,0.1,105.3,0.81,70.147
"Lipases; Biocatalysts; Biocatalysis",TC.323,12,0.12,-73.8,1.23,87.082
"Heart Rate; Blood Pressure; Patients",TC.665,11,0.16,-64.6,0.64,61.981
"Microbial Fuel Cells; Anaerobic Digestion; Bioreactors",TC.65,11,0.03,-100.0,1.82,99.063
"Circulating Neoplastic Cells; Neoplasms; Breast Neoplasms",TC.1166,11,0.22,-57.8,0.96,73.025
"Delirium; Anesthesia; Propofol",TC.190,11,0.07,-,1.19,80.79
"Apoptosis; Cells; Neoplasms",TC.421,11,0.12,-26.5,1.82,84.806
"Teachers; Language; Student",TC.265,11,0.06,54.0,1.8,73.36
"Metabolomics; Metabolome; Mass Spectrometry",TC.858,11,0.15,239.3,2.6,84.538
"Library; Librarian; Information",TC.277,11,0.1,-51.0,0.39,49.933
"Roman; Rome; Ancient",TC.114,11,0.08,60.5,0.51,11.178
"Coleoptera; Beetle; Staphylinidae",TC.351,11,0.2,45.1,3.3,29.451
"Homogenization; Elasticity; Continuum Mechanics",TC.1146,11,0.31,-81.8,1.24,42.236
"Research; Clinical Trials As Topic; Patients",TC.463,11,0.11,-12.0,0.52,62.048
"Genes; Gene Regulatory Networks; Gene Expression",TC.362,11,0.06,-25.0,0.97,90.495
"Publications; Periodicals As Topic; Research",TC.275,11,0.06,-41.8,0.59,84.27
"Ischemic Preconditioning; Reperfusion Injury; Ischemic Postconditioning",TC.662,11,0.25,-,1.52,49.598
"Cloud Computing; Clouds; Distributed Computer Systems",TC.70,11,0.03,22.7,1.48,93.173
"Remote Sensing; Image Classification; Satellite Imagery",TC.153,11,0.04,-29.2,2.37,95.114
"Human Engineering; Ergonomics; Automation",TC.588,11,0.12,213.6,0.92,56.961
"Hyperbaric Oxygenation; Diving; Air Embolism",TC.1223,11,0.42,-43.0,0.35,14.391
"Particulate Matter; Air Pollution; Air Pollutants",TC.431,11,0.09,-25.0,13.31,89.09
"Ionization; Cross Sections; Ions",TC.237,11,0.15,-26.1,0.4,48.26
"Neoplastic Stem Cells; Neoplasms; Breast Neoplasms",TC.860,11,0.13,-80.5,2.39,83.735
"Pituitary Neoplasms; Growth Hormone; Acromegaly",TC.217,11,0.1,110.9,1.36,68.942
"Fishes; Metals; Heavy Metals",TC.317,11,0.13,-65.6,1.52,77.979
"Huntington Disease; Myotonic Dystrophy; Spinocerebellar Ataxias",TC.794,11,0.18,-24.6,1.43,65.73
"Periodicals As Topic; Open Access; Library",TC.1015,11,0.2,-61.0,1.62,41.432
"Corporate Social Responsibility; Corporate Governance; Firms",TC.56,11,0.04,136.1,0.69,92.905
"Synchronization; Chaotic Systems; Chaos Theory",TC.210,10,0.06,79.6,0.92,85.408
"Phosphoric Diester Hydrolases; Casein Kinase II; Cyclic AMP-Dependent Protein Kinases",TC.1105,10,0.33,-58.9,1.81,47.39
"Nephrotic Syndrome; Podocytes; Proteinuria",TC.518,10,0.14,-2.2,0.87,57.564
"Cataract; HSP90 Heat-Shock Proteins; Lenses",TC.484,10,0.15,-,0.5,65.596
"Muscles; Duchenne Muscular Dystrophy; Skeletal Muscle",TC.385,10,0.1,-10.2,1.13,80.589
"Gipsy; Muslim; Gender",TC.750,10,0.13,-70.8,0.32,29.652
"Wings; Aircraft; Aerodynamics",TC.714,10,0.12,-100.0,0.67,51.807
"Public Relations; Social Media; Industry",TC.969,10,0.18,-,1.22,47.523
"Health Literacy; Patients; Internet",TC.717,10,0.1,118.1,0.84,69.612
"Students; Teacher; Learning",TC.337,10,0.07,-100.0,1.41,70.348
"Contraception; Women; Contraceptive Agents",TC.409,10,0.11,-50.3,0.8,60.776
"Buddhist; Buddhism; India",TC.1016,10,0.21,227.3,1.31,3.28
"Adolescent; Pediatrics; Schools",TC.1224,10,0.28,-100.0,2.6,39.558
"Proteins; Membranes; Endocytosis",TC.498,10,0.14,57.1,0.9,78.246
"Macroalgae; Rhodophycota; Seaweed",TC.454,10,0.14,232.8,0.87,74.23
"Migraine Disorders; Headache; Patients",TC.392,10,0.12,-48.9,0.51,64.391
"Synthesis (Chemical); Cycloaddition Reaction; Cyclization",TC.882,10,0.38,-100.0,0.3,42.57
"Creativity; Students; Gifted",TC.905,10,0.2,462.5,1.44,42.102
"Caves; Karst; Speleothem",TC.870,10,0.23,-50.1,1.81,43.574
"Memory; Episodic Memory; Learning",TC.448,10,0.1,-,1.05,73.226
"Bioremediation; Biodegradation; Soils",TC.280,10,0.09,-,0.36,86.212
"Research; Communication; Dance",TC.764,10,0.13,-,0.86,37.416
"Memory; Hippocampus; Learning",TC.412,10,0.12,467.8,1.18,80.12
"HIV-1; HIV; HIV Infections",TC.188,10,0.07,-39.5,7.86,88.755
"Electrical Resistivity; Ground Penetrating Radar Systems; Geological Surveys",TC.508,10,0.1,-49.5,0.47,49.799
"Nurses; Nursing; Students",TC.212,10,0.06,1.6,0.67,68.273
"Martin Heidegger; Nietzsche; Phenomenology",TC.546,9,0.08,64.1,0.49,22.222
"Urinary Bladder Neoplasms; Cystectomy; Carcinoma",TC.417,9,0.1,-65.9,1.12,66.131
"Snails; Gastropoda; Slugs",TC.1113,9,0.42,-73.7,1.03,15.462
"International Law; Human Rights; Responsibility",TC.363,9,0.07,-9.7,0.79,33.802
"History; Spain; Business History",TC.705,9,0.15,-63.9,1.12,24.297
"Artificial Intelligence; Algorithms; Computers",TC.1151,9,0.18,268.5,1.39,33.266
"China; Chinese; Hong Kong",TC.471,9,0.09,-9.1,1.98,48.862
"Palestinians; Israel; Palestine",TC.977,9,0.19,-33.3,0.71,9.237
"Gasification; Pyrolysis; Coal",TC.87,9,0.03,-,1.57,98.527
"Eye; Glaucoma; Cataract",TC.19,9,0.03,-1.1,3.67,90.83
"Micelles; Surface Active Agents; Critical Micelle Concentration",TC.406,9,0.14,19.8,0.31,67.871
"Retina; Neurons; Retinal Ganglion Cells",TC.856,9,0.37,-,0.77,35.877
"Beetle; Bark Beetles; Curculionidae",TC.814,9,0.25,-,5.84,44.11
"Psychoanalysis; Psychotherapy; Patients",TC.289,9,0.08,-50.4,0.34,25.77
"Personality; Borderline Personality Disorder; Personality Disorders",TC.689,9,0.13,270.5,1.27,62.985
"Serotonin; Depression; Serotonin Plasma Membrane Transport Proteins",TC.357,9,0.14,-,1.48,69.545
"Chiroptera; Bat; Rodents",TC.296,9,0.12,-49.2,0.71,59.036
"Students; Education; Teaching",TC.542,9,0.07,431.8,0.87,74.833
"Telemedicine; Technology; Patients",TC.851,9,0.15,-,1.37,50.535
"Phase Equilibria; Binary Mixtures; Equations Of State",TC.135,9,0.06,5.1,0.6,85.141
"Beckett; Modernism; Poetry",TC.889,9,0.15,-,3.27,3.481
"Arab; Egypt; Morocco",TC.1023,9,0.16,118.3,1.46,18.474
"Vasculitis; Mucocutaneous Lymph Node Syndrome; Giant Cell Arteritis",TC.539,9,0.11,-,1.38,48.394
"Germ Cell And Embryonal Neoplasms; Testis; Testicular Neoplasms",TC.707,9,0.19,-100.0,1.49,29.719
"Wastes; Solid Wastes; Municipal Solid Waste",TC.703,9,0.1,-62.9,1.63,79.719
"Cytology; Image Segmentation; Medical Imaging",TC.862,8,0.12,214.8,1.7,78.046
"Soil; Biochar; Soil Organic Carbon",TC.35,8,0.02,-100.0,1.84,98.059
"Cytomegalovirus; Cytomegalovirus Infections; Herpes Zoster",TC.225,8,0.07,-,1.05,72.557
"Galaxies; Stars; Planets",TC.1,8,0.01,291.6,11.63,99.264
"STAT3 Transcription Factor; Interleukin-6; Neoplasms",TC.831,8,0.16,-45.4,0.88,62.718
"Rangelands; Grasslands; Savannas",TC.767,8,0.16,-100.0,1.34,61.245
"Differential Equations; Ordinary Differential Equations; Runge Kutta Methods",TC.1218,8,0.26,-,0.63,19.143
"Child; Geography; Research",TC.596,8,0.08,17.4,0.58,49.398
"Prenatal Diagnosis; Down Syndrome; First Pregnancy Trimester",TC.911,8,0.17,3.7,0.56,37.617
"Formicidae; Hymenoptera; Ant",TC.260,8,0.07,59.7,9.02,82.329
"Microfinance; Farmers; Cooperative",TC.532,8,0.09,-56.8,2.1,57.764
"Drosophila; Insects; Drosophila Melanogaster",TC.342,8,0.11,-,1.04,72.222
"Olea; Oils; Oils And Fats",TC.598,8,0.1,-14.1,0.68,77.644
"Chemokine Receptors; Chemokines; Macrophage Migration-Inhibitory Factors",TC.1119,8,0.18,-,0.65,58.3
"Hematopoietic Stem Cell Transplantation; Graft Vs Host Disease; Transplants",TC.307,8,0.09,-,0.7,69.411
"France; Education; Work",TC.504,8,0.09,-32.1,0.24,27.778
"Volcanoes; Volcanic Eruption; Volcanology",TC.465,8,0.12,332.0,1.82,70.415
"Anoxia; Neoplasms; Hypoxia-Inducible Factor 1",TC.1153,8,0.2,3.1,1.05,60.375
"DNA; Microsatellite Repeats; Population",TC.604,8,0.11,-10.5,4.54,68.608
"Stomach Neoplasms; Esophageal Neoplasms; Gastrectomy",TC.309,8,0.06,-100.0,2.82,75.904
"Sausages; Meat; Pork",TC.349,8,0.09,-57.7,0.52,74.096
"Navier-Stokes Equations; Wave Equations; Compressible",TC.460,8,0.08,72.6,0.82,45.047
"Interconnection Networks; Algorithms; Fault Tolerance",TC.1366,8,0.35,-,1.35,5.89
"Electric Power Transmission Networks; Wind Power; Electric Power Distribution",TC.28,8,0.01,124.3,0.66,99.13
"Health; Disease Outbreaks; Diseases",TC.1345,8,0.21,5.0,1.19,39.29
"Applications; Models; Ubiquitous Computing",TC.440,8,0.08,-100.0,0.66,63.253
"Intravenous Immunoglobulins; Common Variable Immunodeficiency; Patients",TC.1070,8,0.21,-3.7,1.62,46.586
"Syphilis; Chlamydia Trachomatis; Infection",TC.348,8,0.09,101.1,1.0,66.399
"Near Infrared Spectroscopy; Raman Spectrum Analysis; Infrared Devices",TC.451,7,0.06,-,2.07,78.715
"Spinoza; Leibniz; Descartes",TC.671,7,0.11,86.0,0.49,11.245
"Embedded Systems; Scheduling; Real Time Systems",TC.667,7,0.09,-100.0,2.9,44.244
"Mesothelioma; Asbestos; Neoplasms",TC.682,7,0.14,-100.0,0.97,54.351
"Suicide; Suicidal Ideation; Wounds And Injuries",TC.531,7,0.07,60.5,3.26,73.829
"Food; Consumers; Farmers",TC.437,7,0.06,-,0.83,73.628
"Spirituality; Religion; Life",TC.576,7,0.09,100.6,1.3,44.645
"Calcium Carbonate; Calcite; Fouling",TC.758,7,0.09,-,0.92,76.573
"Translation; Translator; Interpreter",TC.1131,7,0.12,-17.5,0.5,12.249
"Melanoma; Retinoblastoma; Neoplasms",TC.1075,7,0.17,-53.4,0.97,31.593
"Ozonization; Degradation; Wastewater Treatment",TC.206,7,0.03,-26.2,1.84,98.728
"Lakes; Reservoirs; Zooplankton",TC.446,7,0.12,-100.0,1.4,55.288
"Functional Laterality; Brain; Hand",TC.1149,7,0.29,-100.0,1.39,21.218
"DNA; Barcoding; Polymerase Chain Reaction",TC.1157,7,0.15,-,5.63,69.679
"Terrorism; Organized Crime; Radicalism",TC.945,7,0.11,-47.6,0.6,37.952
"Metaphor; Dictionary; Language",TC.1174,7,0.14,-100.0,0.94,20.013
"Polysaccharides; Glycosylation; Galectin 3",TC.462,7,0.08,-,1.12,85.341
"Complementary Therapies; Homeopathy; Patients",TC.474,7,0.09,132.8,1.48,52.276
"Fiction; Postcolonial; Introduction",TC.867,7,0.12,-100.0,0.37,5.622
"Vitiligo; Skin; Therapeutics",TC.523,7,0.09,166.7,1.69,62.115
"Cyclone Separators; Storms; Vortex Flow",TC.1452,7,0.29,-58.6,1.11,21.62
"China; Asia; Chinese",TC.495,7,0.07,-100.0,1.56,42.503
"Echinococcosis; Schistosomiasis; Parasites",TC.109,7,0.04,113.2,1.09,79.92
"Russia; Russian; Ukraine",TC.549,7,0.08,-11.9,1.16,41.901
"Lipid Bilayers; Membranes; Lipids",TC.529,7,0.1,-,3.63,79.317
"Peptides; Antimicrobial Cationic Peptides; Beta-Defensins",TC.1071,7,0.14,-,1.37,71.754
"Cheeses; Caseins; Milk",TC.178,7,0.04,-16.6,0.87,93.842
"Porifera; Anthozoa; Biological Agents",TC.795,7,0.17,-,0.78,55.756
"Matrix; Matrix Algebra; Matrix Equation",TC.783,7,0.13,-100.0,0.17,21.553
"Amyotrophic Lateral Sclerosis; Motor Neurons; Patients",TC.1021,7,0.12,-,3.88,78.514
"Global Optimization; Combinatorial Optimization; Integer Programming",TC.1401,7,0.28,-100.0,1.84,13.788
"Glutathione Transferase; Aromatic Polycyclic Hydrocarbons; Meta-Analysis As Topic",TC.563,7,0.17,26.2,0.94,49.465
"Location; Algorithms; Optimization",TC.1249,7,0.18,13.2,1.28,33.869
"Stilbenes; Sirtuin 1; Sirtuins",TC.983,7,0.09,-100.0,1.29,82.597
"Vertigo; Cerebellum; Dizziness",TC.453,7,0.1,-50.6,1.17,58.768
"Intubation; Airway Management; Intratracheal Intubation",TC.470,7,0.08,-,1.11,50.201
"Kisspeptins; Gonadotropin-Releasing Hormone; Estradiol",TC.379,7,0.13,-100.0,1.04,58.701
"Autopsy; Cause Of Death; Tomography",TC.1254,7,0.25,-43.6,0.4,11.379
"Fish; Brazil; Siluriformes",TC.730,7,0.15,-48.0,0.75,43.641
"Students; Science; Learning",TC.230,6,0.03,-,0.28,70.75
"Birds; Nests; Aves",TC.869,6,0.18,-,0.74,23.963
"Complement System Proteins; Mannose-Binding Lectin; Complement Activation",TC.933,6,0.17,-44.7,1.38,49.665
"Iran; Iranian; Muslims",TC.1235,6,0.16,143.2,0.66,7.296
"Dinosaur; Cretaceous; Fossils",TC.375,6,0.1,-,0.95,58.099
"Knowledge Management; Industry; Research",TC.325,6,0.05,-100.0,1.42,67.47
"Medicinal Plants; Plants; Ethnobotany",TC.565,6,0.08,-100.0,0.88,58.166
"Tsunamis; Earthquakes; Geophysics",TC.748,6,0.1,-3.9,1.3,59.438
"Archives; Library; Collections",TC.1139,6,0.14,-100.0,0.36,16.131
"Flora; Grasslands; Italy",TC.706,6,0.15,99.5,0.91,30.924
"Galileo; Astronomy; Mathematics",TC.1403,6,0.27,-18.3,0.71,0.937
"Urotensins; Gills; Fishes",TC.1046,6,0.3,-3.3,1.96,19.277
"Wounds And Injuries; Child Abuse; Craniocerebral Trauma",TC.1352,6,0.23,200.0,2.16,10.107
"Graphene; Carbon Nanotubes; Nanotubes",TC.22,6,0.01,-100.0,0.82,99.866
"Primates; Pan Troglodytes; Behavior",TC.350,6,0.07,-100.0,1.31,75.435
"Learning; Geriatrics; Students",TC.923,6,0.13,-,1.33,33.4
"Solid Oxide Fuel Cells (SOFC); Yttria Stabilized Zirconia; Perovskite",TC.316,6,0.04,-,0.26,91.499
"Arabidopsis; Plants; Genes",TC.11,6,0.01,-,1.42,98.862
"Transforming Growth Factor Beta; Fibrosis; Neoplasms",TC.904,6,0.11,84.5,0.89,65.395
"Research; Science; Periodicals As Topic",TC.932,6,0.08,-57.0,0.23,73.427
"Glass Transition; Molecular Dynamics; Chains",TC.761,6,0.11,-,0.67,67.738
"New Species; Brazil; Rubiaceae",TC.572,6,0.12,-19.0,0.84,34.806
"Matrix Metalloproteinases; Matrix Metalloproteinase 9; Metalloproteases",TC.900,6,0.12,-100.0,1.59,53.815
"Spain; Spanish; Spanish Civil War",TC.887,6,0.09,-100.0,1.29,13.922
"Water; Water Resources; Water Management",TC.527,6,0.06,-,0.86,79.585
"Microsatellite Repeats; Genetic Variation; Loci",TC.716,6,0.12,-50.4,1.39,49.732
"Neoplasms; Glycolysis; Metabolism",TC.967,6,0.13,-22.6,2.86,76.439
"Mathematics; Students; Teacher",TC.391,6,0.05,-,1.04,65.529
"Optimization; Uncertainty Analysis; Reliability Analysis",TC.683,6,0.07,35.8,2.15,60.107
"Alcohols; Reward; Cocaine",TC.132,6,0.03,-49.4,2.28,92.771
"Burns; Wounds And Injuries; Cicatrix",TC.545,6,0.08,-,0.86,48.327
"Surveys; Data Collection; Interview",TC.1093,6,0.14,-100.0,0.74,33.467
"Finite Automata; Formal Languages; P Systems",TC.697,6,0.11,93.2,0.77,25.368
"Design; Human Computer Interaction; Websites",TC.742,6,0.08,-41.0,1.2,54.15
"Computational Geometry; Convex Body; Algorithms",TC.901,6,0.12,-51.4,0.38,18.273
"Student; Ethics; Integrity",TC.776,6,0.11,-37.3,1.77,38.019
"Inductively Coupled Plasma Mass Spectrometry; Atomic Absorption Spectrometry; Inductively Coupled Plasma",TC.274,6,0.07,-60.5,4.06,77.912
"Soviet; Holocaust; Russia",TC.469,6,0.06,-23.5,0.66,13.32
"Great Britain; Eighteenth Century; Nineteenth Century",TC.480,6,0.08,-,0.28,16.667
"Inflammasomes; Inflammation; Toll-Like Receptor 4",TC.551,6,0.06,-77.4,1.79,86.948
"Wetlands; Desertification; Plateau",TC.674,6,0.1,-,0.91,46.854

"© 2019 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
